"","gene","name","Superclass_x","Class_x","Subclass_x"
"548","RVBD1286","cysN","Metabolism","Metabolite damage and its repair or mitigation",""
"549","RVBD1292","argS","Protein Processing","Protein Synthesis","Aminoacyl-tRNA-synthetases"
"550","RVBD1293","lysA","Metabolism","Amino Acids and Derivatives","Lysine,_threonine,_methionine,_and_cysteine"
"551","RVBD1294","thrA","Metabolism","Amino Acids and Derivatives","Glutamine,_glutamate,_aspartate,_asparagine;_ammonia_assimilation"
"552","RVBD1294","thrA","Metabolism","Amino Acids and Derivatives","Lysine,_threonine,_methionine,_and_cysteine"
"553","RVBD1295","thrC","","Clustering-based subsystems","Clustering-based_subsystems"
"554","RVBD1295","thrC","Metabolism","Amino Acids and Derivatives","Lysine,_threonine,_methionine,_and_cysteine"
"555","RVBD1296","thrB","Metabolism","Amino Acids and Derivatives","Lysine,_threonine,_methionine,_and_cysteine"
"556","RVBD1297","rho","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Resistance_to_antibiotics_and_toxic_compounds"
"557","RVBD1298","rpmE","Protein Processing","Protein Synthesis","Ribosome_biogenesis"
"558","RVBD1299","prfA","Energy","Respiration","Biogenesis_of_respiratory_chain_components"
"559","RVBD1299","prfA","Protein Processing","Protein Synthesis","Translation"
"560","RVBD1300","hemK","RNA Processing","RNA Processing","RNA_processing_and_modification"
"561","RVBD1301","RVBD1301","RNA Processing","RNA Processing","RNA_processing_and_modification"
"562","RVBD1302","rfe","","","Cell_wall_of_Mycobacteria"
"563","RVBD1303","","Energy","Respiration","ATP_synthases"
"564","RVBD1304","atpB","Energy","Respiration","ATP_synthases"
"565","RVBD1305","atpE","Energy","Respiration","ATP_synthases"
"566","RVBD1306","atpF","Energy","Respiration","ATP_synthases"
"567","RVBD1307","atpH","Energy","Respiration","ATP_synthases"
"568","RVBD1308","atpA","Energy","Respiration","ATP_synthases"
"569","RVBD1309","atpG","Energy","Respiration","ATP_synthases"
"570","RVBD1310","atpD","Energy","Respiration","ATP_synthases"
"571","RVBD1311","atpC","Energy","Respiration","ATP_synthases"
"572","RVBD1314c","","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Tetrapyrroles"
"573","RVBD1315","murA","Cellular Processes","Cell Cycle, Cell Division and Death","Cell_wall_of_Mycobacteria"
"574","RVBD1315","murA","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Resistance_to_antibiotics_and_toxic_compounds"
"575","RVBD1316c","ogt","DNA Processing","DNA Processing","DNA_repair"
"576","RVBD1317c","alkA","DNA Processing","DNA Processing","DNA_repair"
"577","RVBD1323","fadA4","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Biotin"
"578","RVBD1326c","glgB","Metabolism","Carbohydrates","Polysaccharides"
"579","RVBD1328","glgP","Metabolism","Carbohydrates","Polysaccharides"
"580","RVBD1329c","dinG","DNA Processing","DNA Processing","DNA_repair"
"581","RVBD1330c","","Metabolism","Cofactors, Vitamins, Prosthetic Groups","NAD_and_NADP"
"582","RVBD1334","","Metabolism","Amino Acids and Derivatives","Lysine,_threonine,_methionine,_and_cysteine"
"583","RVBD1335","","Metabolism","Amino Acids and Derivatives","Lysine,_threonine,_methionine,_and_cysteine"
"584","RVBD1336","cysM","Metabolism","Amino Acids and Derivatives","Lysine,_threonine,_methionine,_and_cysteine"
"585","RVBD1338","murI","Metabolism","Amino Acids and Derivatives","Cell_wall_of_Mycobacteria"
"586","RVBD1340","rph","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Stress_Response:_Heat/cold_shock"
"587","RVBD1341","","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Stress_Response:_Heat/cold_shock"
"588","RVBD1341","","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence",""
"589","RVBD1342c","","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence",""
"590","RVBD1343c","lprD","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence",""
"591","RVBD1344","","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Fatty_acids"
"592","RVBD1344","","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Phospholipids"
"593","RVBD1345","fadD33","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Fatty_acids"
"594","RVBD1346","fadE14","Miscellaneous","Miscellaneous",""
"595","RVBD1347c","","Metabolism","Iron acquisition and metabolism","Siderophores"
"596","RVBD1348","irtA","","","iron_homeostasis"
"597","RVBD1362c","","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Invasion_and_intracellular_resistance"
"598","RVBD1363c","","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Invasion_and_intracellular_resistance"
"599","RVBD1368","lprF","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence",""
"600","RVBD1379","pyrR","Metabolism","Nucleosides and Nucleotides","Pyrimidines"
"601","RVBD1380","pyrB","Metabolism","Nucleosides and Nucleotides","Pyrimidines"
"602","RVBD1381","pyrC","Metabolism","Nucleosides and Nucleotides","Pyrimidines"
"603","RVBD1383","carA","Metabolism","Nucleosides and Nucleotides","Pyrimidines"
"604","RVBD1384","carB","Metabolism","Nucleosides and Nucleotides","Pyrimidines"
"605","RVBD1385","pyrF","Metabolism","Nucleosides and Nucleotides","Pyrimidines"
"606","RVBD1389","gmk","","","Purines"
"607","RVBD1390","rpoZ","RNA Processing","RNA Processing","Transcription"
"608","RVBD1391","dfp","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Coenzyme_A"
"609","RVBD1392","metK","Metabolism","Carbohydrates","C-1_compound_metabolism"
"610","RVBD1392","metK","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Folate_and_pterines"
"611","RVBD1397c","","Cellular Processes","Cell Cycle, Cell Division and Death","Programmed_Cell_Death_and_Toxin-antitoxin_Systems"
"612","RVBD1402","priA","","","DNA_replication"
"613","RVBD1406","fmt","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Folate_and_pterines"
"614","RVBD1406","fmt","Protein Processing","Protein Synthesis","Translation"
"615","RVBD1408","rpe","Energy","Energy and Precursor Metabolites Generation","Central_Metabolism"
"616","RVBD1409","ribG","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Riboflavin,_FMN,_FAD"
"617","RVBD1410c","","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence",""
"618","RVBD1411c","lprG","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence",""
"619","RVBD1412","ribC","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Riboflavin,_FMN,_FAD"
"620","RVBD1415","ribA2","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Folate_and_pterines"
"621","RVBD1415","ribA2","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Riboflavin,_FMN,_FAD"
"622","RVBD1416","ribH","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Riboflavin,_FMN,_FAD"
"623","RVBD1418","lprH","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence",""
"624","RVBD1420","uvrC","DNA Processing","DNA Processing","DNA_repair"
"625","RVBD1425","","","Fatty Acids, Lipids, and Isoprenoids","Unsaturated_fatty_acids"
"626","RVBD1427c","fadD12","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Biotin"
"627","RVBD1427c","fadD12","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Fatty_acids"
"628","RVBD1436","gap","Energy","Energy and Precursor Metabolites Generation","Central_Metabolism"
"629","RVBD1436","gap","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Pyridoxine"
"630","RVBD1437","pgk","Energy","Energy and Precursor Metabolites Generation","Central_Metabolism"
"631","RVBD1438","tpi","Energy","Energy and Precursor Metabolites Generation","Central_Metabolism"
"632","RVBD1445c","devB","Energy","Energy and Precursor Metabolites Generation","Central_Metabolism"
"633","RVBD1447c","zwf2","Energy","Energy and Precursor Metabolites Generation","Central_Metabolism"
"634","RVBD1448c","tal","Energy","Energy and Precursor Metabolites Generation","Central_Metabolism"
"635","RVBD1449c","tkt","Energy","Energy and Precursor Metabolites Generation","Central_Metabolism"
"636","RVBD1451","ctaB","Energy","Respiration","Respiratory_chain"
"637","RVBD1454c","qor","Energy","Respiration",""
"638","RVBD1456c","RVBD1456c","Energy","Respiration","Biogenesis_of_respiratory_chain_components"
"639","RVBD1461","RVBD1461","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Fe-S_clusters"
"640","RVBD1462","RVBD1462","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Fe-S_clusters"
"641","RVBD1463","RVBD1463","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Fe-S_clusters"
"642","RVBD1464","csd","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Fe-S_clusters"
"643","RVBD1465","","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Fe-S_clusters"
"644","RVBD1466","","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Fe-S_clusters"
"645","RVBD1467c","fadE15","Miscellaneous","Miscellaneous",""
"646","RVBD1469","ctpD","Membrane Transport","Membrane Transport","Cation_transporters"
"647","RVBD1470","trxA","Cellular Processes","Cell Cycle, Cell Division and Death",""
"648","RVBD1471","trxB1","Cellular Processes","Cell Cycle, Cell Division and Death",""
"649","RVBD1475c","acn","Energy","Energy and Precursor Metabolites Generation","Central_Metabolism"
"650","RVBD1477","ripA","","","Cell_wall_of_Mycobacteria"
"651","RVBD1479","moxR1","","","Regulation_Transcription"
"652","RVBD1483","fabG1","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Fatty_acids"
"653","RVBD1484","inhA","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Fatty_acids"
"654","RVBD1484","inhA","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Resistance_to_antibiotics_and_toxic_compounds"
"655","RVBD1485","hemZ","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Tetrapyrroles"
"656","RVBD1494","","Cellular Processes","Cell Cycle, Cell Division and Death","Programmed_Cell_Death_and_Toxin-antitoxin_Systems"
"657","RVBD1495","","Cellular Processes","Cell Cycle, Cell Division and Death","Programmed_Cell_Death_and_Toxin-antitoxin_Systems"
"658","RVBD1511","gmdA","Metabolism","Carbohydrates","Monosaccharides"
"659","RVBD1512","epiA","Metabolism","Carbohydrates","Monosaccharides"
"660","RVBD1522c","mmpL12","Membrane Transport","Membrane Transport","Multidrug_efflux_systems"
"661","RVBD1527c","pks5","Metabolism","Iron acquisition and metabolism","Siderophores"
"662","RVBD1536","ileS","Protein Processing","Protein Synthesis","Aminoacyl-tRNA-synthetases"
"663","RVBD1536","ileS","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Resistance_to_antibiotics_and_toxic_compounds"
"664","RVBD1537","dinX","DNA Processing","DNA Processing","DNA_repair"
"665","RVBD1539","lspA","Protein Processing","Protein Fate (folding, modification, targeting, degradation)","Protein_processing_and_modification"
"666","RVBD1540","","RNA Processing","RNA Processing","RNA_processing_and_modification"
"667","RVBD1541c","lprI","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence",""
"668","RVBD1542c","glbN","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence",""
"669","RVBD1547","dnaE1","","","DNA_replication"
"670","RVBD1549","fadD11.1","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Biotin"
"671","RVBD1549","fadD11.1","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Fatty_acids"
"672","RVBD1550","fadD11","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Biotin"
"673","RVBD1550","fadD11","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Fatty_acids"
"674","RVBD1551","plsB1","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Phospholipids"
"675","RVBD1552","frdA","Energy","Respiration","Electron_donating_reactions"
"676","RVBD1553","frdB","Energy","Respiration","Electron_donating_reactions"
"677","RVBD1554","frdC","Energy","Respiration","Electron_donating_reactions"
"678","RVBD1555","frdD","Energy","Respiration","Electron_donating_reactions"
"679","RVBD1557","mmpL6","Membrane Transport","Membrane Transport","Multidrug_efflux_systems"
"680","RVBD1559","ilvA","Metabolism","Amino Acids and Derivatives","Branched-chain_amino_acids"
"681","RVBD1561","","Cellular Processes","Cell Cycle, Cell Division and Death","Programmed_Cell_Death_and_Toxin-antitoxin_Systems"
"682","RVBD1564c","treX","Metabolism","Carbohydrates","Polysaccharides"
"683","RVBD1568","bioA","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Biotin"
"684","RVBD1569","bioF1","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Biotin"
"685","RVBD1570","bioD","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Biotin"
"686","RVBD1589","bioB","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Biotin"
"687","RVBD1593c","","Metabolism","Cofactors, Vitamins, Prosthetic Groups","NAD_and_NADP"
"688","RVBD1594","nadA","Metabolism","Cofactors, Vitamins, Prosthetic Groups","NAD_and_NADP"
"689","RVBD1595","nadB","Metabolism","Cofactors, Vitamins, Prosthetic Groups","NAD_and_NADP"
"690","RVBD1596","nadC","Metabolism","Cofactors, Vitamins, Prosthetic Groups","NAD_and_NADP"
"691","RVBD1599","hisD","Metabolism","Amino Acids and Derivatives","Histidine_Metabolism"
"692","RVBD1599","hisD","Cellular Processes","Cell Cycle, Cell Division and Death","Histidine_Metabolism"
"693","RVBD1600","hisC1","Metabolism","Amino Acids and Derivatives","Histidine_Metabolism"
"694","RVBD1601","hisB","Metabolism","Amino Acids and Derivatives","Histidine_Metabolism"
"695","RVBD1602","hisH","Metabolism","Amino Acids and Derivatives","Histidine_Metabolism"
"696","RVBD1603","hisA","Metabolism","Amino Acids and Derivatives","Aromatic_amino_acids_and_derivatives"
"697","RVBD1603","hisA","Metabolism","Amino Acids and Derivatives","Histidine_Metabolism"
"698","RVBD1604","impA","Metabolism","Amino Acids and Derivatives","Histidine_Metabolism"
"699","RVBD1605","hisF","Metabolism","Amino Acids and Derivatives","Histidine_Metabolism"
"700","RVBD1606","hisI","Metabolism","Amino Acids and Derivatives","Histidine_Metabolism"
"701","RVBD1609","trpE","Metabolism","Amino Acids and Derivatives","Aromatic_amino_acids_and_derivatives"
"702","RVBD1610","RVBD1610","Metabolism","Amino Acids and Derivatives","Aromatic_amino_acids_and_derivatives"
"703","RVBD1611","trpC","Metabolism","Amino Acids and Derivatives","Aromatic_amino_acids_and_derivatives"
"704","RVBD1612","trpB","Metabolism","Amino Acids and Derivatives","Aromatic_amino_acids_and_derivatives"
"705","RVBD1613","trpA","Metabolism","Amino Acids and Derivatives","Aromatic_amino_acids_and_derivatives"
"706","RVBD1617","pykA","Energy","Energy and Precursor Metabolites Generation","Central_Metabolism"
"707","RVBD1618","tesB1","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Fatty_acids"
"708","RVBD1622c","cydB","Energy","Respiration","Biogenesis_of_respiratory_chain_components"
"709","RVBD1622c","cydB","Energy","Respiration","Electron_accepting_reactions"
"710","RVBD1623c","cydA","Energy","Respiration","Biogenesis_of_respiratory_chain_components"
"711","RVBD1623c","cydA","Energy","Respiration","Electron_accepting_reactions"
"712","RVBD1629","polA","DNA Processing","DNA Processing","DNA_repair"
"713","RVBD1630","rpsA","DNA Processing","DNA Processing","DNA_replication"
"714","RVBD1630","rpsA","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Ribosome_biogenesis"
"715","RVBD1631","coaE","","","Coenzyme_A"
"716","RVBD1633","uvrB","DNA Processing","DNA Processing","DNA_repair"
"717","RVBD1634","","Membrane Transport","Membrane Transport","Multidrug_efflux_systems"
"718","RVBD1636","TB15.3","","","Stress_Response:_Heat/cold_shock"
"719","RVBD1638","uvrA","DNA Processing","DNA Processing","DNA_repair"
"720","RVBD1640c","lysS","Protein Processing","Protein Synthesis","Aminoacyl-tRNA-synthetases"
"721","RVBD1640c","lysS","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Phospholipids"
"722","RVBD1640c","lysS","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Resistance_to_antibiotics_and_toxic_compounds"
"723","RVBD1641","infC","Protein Processing","Protein Synthesis","Translation"
"724","RVBD1642","rpmI","Protein Processing","Protein Synthesis","Ribosome_biogenesis"
"725","RVBD1643","rplT","Protein Processing","Protein Synthesis","Ribosome_biogenesis"
"726","RVBD1649","pheS","Protein Processing","Protein Synthesis","Aminoacyl-tRNA-synthetases"
"727","RVBD1650","pheT","Protein Processing","Protein Synthesis","Aminoacyl-tRNA-synthetases"
"728","RVBD1652","argC","Metabolism","Amino Acids and Derivatives","Arginine;_urea_cycle,_creatine,_polyamines"
"729","RVBD1652","argC","Metabolism","Amino Acids and Derivatives","Proline_and_4-hydroxyproline"
"730","RVBD1653","argJ","Metabolism","Amino Acids and Derivatives","Arginine;_urea_cycle,_creatine,_polyamines"
"731","RVBD1654","argB","Metabolism","Amino Acids and Derivatives","Arginine;_urea_cycle,_creatine,_polyamines"
"732","RVBD1654","argB","Metabolism","Amino Acids and Derivatives","Proline_and_4-hydroxyproline"
"733","RVBD1655","argD","Metabolism","Amino Acids and Derivatives","Arginine;_urea_cycle,_creatine,_polyamines"
"734","RVBD1655","argD","Metabolism","Amino Acids and Derivatives","Proline_and_4-hydroxyproline"
"735","RVBD1656","argF","Metabolism","Amino Acids and Derivatives","Arginine;_urea_cycle,_creatine,_polyamines"
"736","RVBD1658","argG","Metabolism","Amino Acids and Derivatives","Arginine;_urea_cycle,_creatine,_polyamines"
"737","RVBD1658","argG","Metabolism","Amino Acids and Derivatives","Proline_and_4-hydroxyproline"
"738","RVBD1659","argH","Metabolism","Amino Acids and Derivatives","Arginine;_urea_cycle,_creatine,_polyamines"
"739","RVBD1659","argH","Metabolism","Amino Acids and Derivatives","Proline_and_4-hydroxyproline"
"740","RVBD1661","pks7","Metabolism","Iron acquisition and metabolism","Siderophores"
"741","RVBD1662","pks8","Metabolism","Iron acquisition and metabolism","Siderophores"
"742","RVBD1663","pks17","Metabolism","Iron acquisition and metabolism","Siderophores"
"743","RVBD1664","pks9","Metabolism","Iron acquisition and metabolism","Siderophores"
"744","RVBD1679","fadE16","Miscellaneous","Miscellaneous",""
"745","RVBD1688","mpg","DNA Processing","DNA Processing","DNA_repair"
"746","RVBD1689","tyrS","Protein Processing","Protein Synthesis","Aminoacyl-tRNA-synthetases"
"747","RVBD1690","lprJ","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence",""
"748","RVBD1695","ppnK","Metabolism","Cofactors, Vitamins, Prosthetic Groups","NAD_and_NADP"
"749","RVBD1695","ppnK","RNA Processing","RNA Processing","RNA_processing_and_modification"
"750","RVBD1696","recN","DNA Processing","DNA Processing","DNA_repair"
"751","RVBD1696","recN","RNA Processing","RNA Processing","RNA_processing_and_modification"
"752","RVBD1697","RVBD1697","RNA Processing","RNA Processing","RNA_processing_and_modification"
"753","RVBD1698","","RNA Processing","RNA Processing","RNA_processing_and_modification"
"754","RVBD1699","pyrG","RNA Processing","RNA Processing","RNA_processing_and_modification"
"755","RVBD1700","","Metabolism","Cofactors, Vitamins, Prosthetic Groups","NAD_and_NADP"
"756","RVBD1700","","RNA Processing","RNA Processing","RNA_processing_and_modification"
"757","RVBD1700","","Metabolism","Metabolite damage and its repair or mitigation",""
"758","RVBD1704c","cycA","Energy","Energy and Precursor Metabolites Generation","Central_Metabolism"
"759","RVBD1707","","Metabolism","Amino Acids and Derivatives","Lysine,_threonine,_methionine,_and_cysteine"
"760","RVBD1707","","Miscellaneous","Miscellaneous",""
"761","RVBD1711","","RNA Processing","RNA Processing","RNA_processing_and_modification"
"762","RVBD1713","engA","Protein Processing","Protein Synthesis","Central_Metabolism"
"763","RVBD1716","","Metabolism","Cofactors, Vitamins, Prosthetic Groups","NAD_and_NADP"
"764","RVBD1720c","","Cellular Processes","Cell Cycle, Cell Division and Death","Programmed_Cell_Death_and_Toxin-antitoxin_Systems"
"765","RVBD1721c","","Cellular Processes","Cell Cycle, Cell Division and Death","Programmed_Cell_Death_and_Toxin-antitoxin_Systems"
"766","RVBD1729c","","Protein Processing","Protein Fate (folding, modification, targeting, degradation)","Protein_targeting,_sorting,_translocation"
"767","RVBD1736c","narX","Metabolism","Nitrogen Metabolism",""
"768","RVBD1739c","","Miscellaneous","Miscellaneous",""
"769","RVBD1741","","Cellular Processes","Cell Cycle, Cell Division and Death","Programmed_Cell_Death_and_Toxin-antitoxin_Systems"
"770","RVBD1745c","idi","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Isoprenoids"
"771","RVBD1747","","Membrane Transport","Membrane Transport","Multidrug_efflux_systems"
"772","RVBD1750c","fadD1","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Biotin"
"773","RVBD1750c","fadD1","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Fatty_acids"
"774","RVBD1755c","plcD","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Host-pathogen_interactions"
"775","RVBD1760","","","Fatty Acids, Lipids, and Isoprenoids","Unsaturated_fatty_acids"
"776","RVBD1781c","malQ","Metabolism","Carbohydrates","Polysaccharides"
"777","RVBD1782","eccB5","Membrane Transport","Membrane Transport","Protein_secretion_system,_Type_VII"
"778","RVBD1783","eccC5","Membrane Transport","Membrane Transport","Protein_secretion_system,_Type_VII"
"779","RVBD1784","","Membrane Transport","Membrane Transport","Protein_secretion_system,_Type_VII"
"780","RVBD1794","RVBD1794","Membrane Transport","Membrane Transport","Protein_secretion_system,_Type_VII"
"781","RVBD1795","eccD5","Membrane Transport","Membrane Transport","Protein_secretion_system,_Type_VII"
"782","RVBD1796","mycP5","Membrane Transport","Membrane Transport","Protein_secretion_system,_Type_VII"
"783","RVBD1797","eccE5","Membrane Transport","Membrane Transport","Protein_secretion_system,_Type_VII"
"784","RVBD1798","","Membrane Transport","Membrane Transport","Protein_secretion_system,_Type_VII"
"785","RVBD1811","mgtC","Membrane Transport","Membrane Transport","Cation_transporters"
"786","RVBD1822","pgsA2","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Phospholipids"
"787","RVBD1825","","Cellular Processes","Cell Cycle, Cell Division and Death",""
"788","RVBD1826","gcvH","Metabolism","Amino Acids and Derivatives","Alanine,_serine,_and_glycine"
"789","RVBD1832","gcvB","Metabolism","Amino Acids and Derivatives","Alanine,_serine,_and_glycine"
"790","RVBD1832","gcvB","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Lipoic_acid"
"791","RVBD1837c","glcB","Energy","Energy and Precursor Metabolites Generation","Central_Metabolism"
"792","RVBD1838c","","Cellular Processes","Cell Cycle, Cell Division and Death","Programmed_Cell_Death_and_Toxin-antitoxin_Systems"
"793","RVBD1841c","","Membrane Transport","Membrane Transport","Cation_transporters"
"794","RVBD1843c","guaB1","Metabolism","Nucleosides and Nucleotides","Purines"
"795","RVBD1844c","gnd1","Energy","Energy and Precursor Metabolites Generation","Central_Metabolism"
"796","RVBD1848","ureA","Metabolism","Amino Acids and Derivatives","Arginine;_urea_cycle,_creatine,_polyamines"
"797","RVBD1848","ureA","Miscellaneous","Miscellaneous",""
"798","RVBD1849","ureB","Metabolism","Amino Acids and Derivatives","Arginine;_urea_cycle,_creatine,_polyamines"
"799","RVBD1849","ureB","Miscellaneous","Miscellaneous",""
"800","RVBD1850","ureC","Metabolism","Amino Acids and Derivatives","Arginine;_urea_cycle,_creatine,_polyamines"
"801","RVBD1850","ureC","Miscellaneous","Miscellaneous",""
"802","RVBD1851","ureF","Metabolism","Amino Acids and Derivatives","Arginine;_urea_cycle,_creatine,_polyamines"
"803","RVBD1852","ureG","Metabolism","Amino Acids and Derivatives","Arginine;_urea_cycle,_creatine,_polyamines"
"804","RVBD1853","ureD","Metabolism","Amino Acids and Derivatives","Arginine;_urea_cycle,_creatine,_polyamines"
"805","RVBD1854c","ndh","","","NAD_and_NADP"
"806","RVBD1857","modA","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Folate_and_pterines"
"807","RVBD1858","modB","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Folate_and_pterines"
"808","RVBD1859","modC","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Folate_and_pterines"
"809","RVBD1868","","Energy","Energy and Precursor Metabolites Generation","Central_Metabolism"
"810","RVBD1872c","lldD2","Energy","Energy and Precursor Metabolites Generation","Fermentation"
"811","RVBD1876","bfrA","Protein Processing","Protein Fate (folding, modification, targeting, degradation)","Protein_targeting,_sorting,_translocation"
"812","RVBD1877","","Membrane Transport","Membrane Transport","Multidrug_efflux_systems"
"813","RVBD1885c","","Metabolism","Amino Acids and Derivatives","Aromatic_amino_acids_and_derivatives"
"814","RVBD1888A","","Protein Processing","Protein Fate (folding, modification, targeting, degradation)","Protein_targeting,_sorting,_translocation"
"815","RVBD1889c","","Protein Processing","Protein Fate (folding, modification, targeting, degradation)","Protein_targeting,_sorting,_translocation"
"816","RVBD1896c","","Protein Processing","Protein Fate (folding, modification, targeting, degradation)","Protein_targeting,_sorting,_translocation"
"817","RVBD1897c","","Protein Processing","Protein Synthesis","Aminoacyl-tRNA-synthetases"
"818","RVBD1897c","","Regulation And Cell Signaling","Regulation and Cell signaling",""
"819","RVBD1901","cinA","DNA Processing","DNA Processing","DNA_repair"
"820","RVBD1901","cinA","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Riboflavin,_FMN,_FAD"
"821","RVBD1905c","aao","Metabolism","Amino Acids and Derivatives","Proline_and_4-hydroxyproline"
"822","RVBD1908c","katG","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Resistance_to_antibiotics_and_toxic_compounds"
"823","RVBD1908c","katG","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Stress_Response"
"824","RVBD1915","aceAa","Energy","Energy and Precursor Metabolites Generation","Central_Metabolism"
"825","RVBD1916","aceAb","Energy","Energy and Precursor Metabolites Generation","Central_Metabolism"
"826","RVBD1925","fadD31","Metabolism","Fatty Acids, Lipids, and Isoprenoids","Fatty_acids"
"827","RVBD1933c","fadE18","Miscellaneous","Miscellaneous",""
"828","RVBD1934c","fadE17","Miscellaneous","Miscellaneous",""
"829","RVBD1940","ribA1","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Folate_and_pterines"
"830","RVBD1940","ribA1","Metabolism","Cofactors, Vitamins, Prosthetic Groups","Riboflavin,_FMN,_FAD"
"831","RVBD1942c","","Cellular Processes","Cell Cycle, Cell Division and Death","Programmed_Cell_Death_and_Toxin-antitoxin_Systems"
"832","RVBD1943c","","Cellular Processes","Cell Cycle, Cell Division and Death","Programmed_Cell_Death_and_Toxin-antitoxin_Systems"
"833","RVBD1955","","Cellular Processes","Cell Cycle, Cell Division and Death","Programmed_Cell_Death_and_Toxin-antitoxin_Systems"
"834","RVBD1956","","Cellular Processes","Cell Cycle, Cell Division and Death","Programmed_Cell_Death_and_Toxin-antitoxin_Systems"
"835","RVBD1962c","","Cellular Processes","Cell Cycle, Cell Division and Death","Programmed_Cell_Death_and_Toxin-antitoxin_Systems"
"836","RVBD1964","yrbE3A","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Invasion_and_intracellular_resistance"
"837","RVBD1965","yrbE3B","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Invasion_and_intracellular_resistance"
"838","RVBD1966","mce3A","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Invasion_and_intracellular_resistance"
"839","RVBD1967","mce3B","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Invasion_and_intracellular_resistance"
"840","RVBD1968","mce3C","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Invasion_and_intracellular_resistance"
"841","RVBD1969","mce3D","Stress Response, Defense, Virulence","Stress Response, Defense and Virulence","Invasion_and_intracellular_resistance"
