"","start","end","strand","geneID","start_norm","end_norm"
"361",5060598,5060601,"+","RVBD0348-RVBD0349 intergenic region",418946,418949
"3613",5060598,5060601,"-","RVBD0348-RVBD0349 intergenic region_as",418946,418949
"1446",5060601,5061260,"+","RVBD0349",418949,419608
"14463",5060601,5061260,"-","RVBD0349_as",418949,419608
"36210",5061260,5061487,"+","RVBD0349-RVBD0350 intergenic region",419608,419835
"362101",5061260,5061487,"-","RVBD0349-RVBD0350 intergenic region_as",419608,419835
"1450",5061487,5063364,"+","RVBD0350",419835,421712
"14501",5061487,5063364,"-","RVBD0350_as",419835,421712
"1454",5063361,5064068,"+","RVBD0351",421709,422416
"14541",5063361,5064068,"-","RVBD0351_as",421709,422416
"364",5064068,5064104,"+","RVBD0351-RVBD0352 intergenic region",422416,422452
"3643",5064068,5064104,"-","RVBD0351-RVBD0352 intergenic region_as",422416,422452
"1458",5064104,5065291,"+","RVBD0352",422452,423639
"14583",5064104,5065291,"-","RVBD0352_as",422452,423639
"1462",5065291,5065671,"+","RVBD0353",423639,424019
"365",5065291,5065291,"+","RVBD0352-RVBD0353 intergenic region",423639,423639
"14623",5065291,5065671,"-","RVBD0353_as",423639,424019
"3656",5065291,5065291,"-","RVBD0352-RVBD0353 intergenic region_as",423639,423639
"36610",5065671,5065796,"+","RVBD0353-RVBD0354c intergenic region",424019,424144
"366101",5065671,5065796,"-","RVBD0353-RVBD0354c intergenic region_as",424019,424144
"1466",5065796,5066347,"-","RVBD0354c",424144,424695
"14661",5065796,5066347,"+","RVBD0354c_as",424144,424695
"367",5066347,5066430,"+","RVBD0354c-RVBD0355c intergenic region",424695,424778
"3676",5066347,5066430,"-","RVBD0354c-RVBD0355c intergenic region_as",424695,424778
"1470",5066430,5076332,"-","RVBD0355c",424778,434680
"14701",5066430,5076332,"+","RVBD0355c_as",424778,434680
"368",5076332,5076483,"+","RVBD0355c-RVBD0356c intergenic region",434680,434831
"3687",5076332,5076483,"-","RVBD0355c-RVBD0356c intergenic region_as",434680,434831
"1474",5076483,5077127,"-","RVBD0356c",434831,435475
"14743",5076483,5077127,"+","RVBD0356c_as",434831,435475
"1478",5077124,5078422,"-","RVBD0357c",435472,436770
"14781",5077124,5078422,"+","RVBD0357c_as",435472,436770
"37010",5078422,5078513,"+","RVBD0357c-RVBD0358 intergenic region",436770,436861
"370101",5078422,5078513,"-","RVBD0357c-RVBD0358 intergenic region_as",436770,436861
"1482",5078513,5079160,"+","RVBD0358",436861,437508
"14823",5078513,5079160,"-","RVBD0358_as",436861,437508
"371",5079160,5079171,"+","RVBD0358-RVBD0359 intergenic region",437508,437519
"3711",5079160,5079171,"-","RVBD0358-RVBD0359 intergenic region_as",437508,437519
"1486",5079171,5079950,"+","RVBD0359",437519,438298
"14863",5079171,5079950,"-","RVBD0359_as",437519,438298
"372",5079950,5079955,"+","RVBD0359-RVBD0360c intergenic region",438298,438303
"3728",5079950,5079955,"-","RVBD0359-RVBD0360c intergenic region_as",438298,438303
"1490",5079955,5080392,"-","RVBD0360c",438303,438740
"14903",5079955,5080392,"+","RVBD0360c_as",438303,438740
"373",5080392,5080475,"+","RVBD0360c-RVBD0361 intergenic region",438740,438823
"3735",5080392,5080475,"-","RVBD0360c-RVBD0361 intergenic region_as",438740,438823
"1494",5080475,5081302,"+","RVBD0361",438823,439650
"14941",5080475,5081302,"-","RVBD0361_as",438823,439650
"37410",5081302,5081524,"+","RVBD0361-RVBD0362 intergenic region",439650,439872
"374101",5081302,5081524,"-","RVBD0361-RVBD0362 intergenic region_as",439650,439872
"1498",5081524,5082906,"+","RVBD0362",439872,441254
"14983",5081524,5082906,"-","RVBD0362_as",439872,441254
"375",5082906,5082918,"+","RVBD0362-RVBD0363c intergenic region",441254,441266
"3753",5082906,5082918,"-","RVBD0362-RVBD0363c intergenic region_as",441254,441266
"1502",5082918,5083952,"-","RVBD0363c",441266,442300
"15021",5082918,5083952,"+","RVBD0363c_as",441266,442300
"376",5083952,5084048,"+","RVBD0363c-RVBD0364 intergenic region",442300,442396
"3764",5083952,5084048,"-","RVBD0363c-RVBD0364 intergenic region_as",442300,442396
"1506",5084048,5084731,"+","RVBD0364",442396,443079
"15063",5084048,5084731,"-","RVBD0364_as",442396,443079
"1510",5084720,5085850,"-","RVBD0365c",443068,444198
"15103",5084720,5085850,"+","RVBD0365c_as",443068,444198
"37810",5085850,5085875,"+","RVBD0365c-RVBD0366c intergenic region",444198,444223
"378101",5085850,5085875,"-","RVBD0365c-RVBD0366c intergenic region_as",444198,444223
"1514",5085875,5086468,"-","RVBD0366c",444223,444816
"15141",5085875,5086468,"+","RVBD0366c_as",444223,444816
"379",5086468,5086497,"+","RVBD0366c-RVBD0367c intergenic region",444816,444845
"3793",5086468,5086497,"-","RVBD0366c-RVBD0367c intergenic region_as",444816,444845
"1518",5086497,5086886,"-","RVBD0367c",444845,445234
"15181",5086497,5086886,"+","RVBD0367c_as",444845,445234
"380",5086886,5086967,"+","RVBD0367c-RVBD0368c intergenic region",445234,445315
"3807",5086886,5086967,"-","RVBD0367c-RVBD0368c intergenic region_as",445234,445315
"1522",5086967,5088178,"-","RVBD0368c",445315,446526
"15221",5086967,5088178,"+","RVBD0368c_as",445315,446526
"381",5088178,5088184,"+","RVBD0368c-RVBD0369c intergenic region",446526,446532
"3811",5088178,5088184,"-","RVBD0368c-RVBD0369c intergenic region_as",446526,446532
"1526",5088184,5088699,"-","RVBD0369c",446532,447047
"15263",5088184,5088699,"+","RVBD0369c_as",446532,447047
"38210",5088699,5088800,"+","RVBD0369c-RVBD0370c intergenic region",447047,447148
"382101",5088699,5088800,"-","RVBD0369c-RVBD0370c intergenic region_as",447047,447148
"1530",5088800,5089696,"-","RVBD0370c",447148,448044
"15303",5088800,5089696,"+","RVBD0370c_as",447148,448044
"1534",5089693,5090286,"-","RVBD0371c",448041,448634
"15343",5089693,5090286,"+","RVBD0371c_as",448041,448634
"1538",5090283,5091038,"-","RVBD0372c",448631,449386
"15383",5090283,5091038,"+","RVBD0372c_as",448631,449386
"385",5091038,5091057,"+","RVBD0372c-RVBD0373c intergenic region",449386,449405
"3853",5091038,5091057,"-","RVBD0372c-RVBD0373c intergenic region_as",449386,449405
"1542",5091057,5093456,"-","RVBD0373c",449405,451804
"15423",5091057,5093456,"+","RVBD0373c_as",449405,451804
"1546",5093453,5093932,"-","RVBD0374c",451801,452280
"15463",5093453,5093932,"+","RVBD0374c_as",451801,452280
"387",5093932,5093947,"+","RVBD0374c-RVBD0375c intergenic region",452280,452295
"3873",5093932,5093947,"-","RVBD0374c-RVBD0375c intergenic region_as",452280,452295
"1550",5093947,5094807,"-","RVBD0375c",452295,453155
"15503",5093947,5094807,"+","RVBD0375c_as",452295,453155
"388",5094807,5094883,"+","RVBD0375c-RVBD0376c intergenic region",453155,453231
"38810",5094807,5094883,"-","RVBD0375c-RVBD0376c intergenic region_as",453155,453231
"1554",5094883,5096025,"-","RVBD0376c",453231,454373
"15541",5094883,5096025,"+","RVBD0376c_as",453231,454373
"389",5096025,5096074,"+","RVBD0376c-RVBD0377 intergenic region",454373,454422
"3893",5096025,5096074,"-","RVBD0376c-RVBD0377 intergenic region_as",454373,454422
"1558",5096074,5097039,"+","RVBD0377",454422,455387
"15583",5096074,5097039,"-","RVBD0377_as",454422,455387
"39010",5097039,5097290,"+","RVBD0377-RVBD0378 intergenic region",455387,455638
"390101",5097039,5097290,"-","RVBD0377-RVBD0378 intergenic region_as",455387,455638
"1562",5097290,5097511,"+","RVBD0378",455638,455859
"15623",5097290,5097511,"-","RVBD0378_as",455638,455859
"391",5097511,5097630,"+","RVBD0378-RVBD0379 intergenic region",455859,455978
"3915",5097511,5097630,"-","RVBD0378-RVBD0379 intergenic region_as",455859,455978
"1566",5097630,5097845,"+","RVBD0379",455978,456193
"15663",5097630,5097845,"-","RVBD0379_as",455978,456193
"392",5097845,5097921,"+","RVBD0379-RVBD0380c intergenic region",456193,456269
"39210",5097845,5097921,"-","RVBD0379-RVBD0380c intergenic region_as",456193,456269
"1570",5097921,5098472,"-","RVBD0380c",456269,456820
"15703",5097921,5098472,"+","RVBD0380c_as",456269,456820
"393",5098472,5098568,"+","RVBD0380c-RVBD0381c intergenic region",456820,456916
"39310",5098472,5098568,"-","RVBD0380c-RVBD0381c intergenic region_as",456820,456916
"1574",5098568,5099476,"-","RVBD0381c",456916,457824
"15743",5098568,5099476,"+","RVBD0381c_as",456916,457824
"39410",5099476,5099494,"+","RVBD0381c-RVBD0382c intergenic region",457824,457842
"394101",5099476,5099494,"-","RVBD0381c-RVBD0382c intergenic region_as",457824,457842
"1578",5099494,5100033,"-","RVBD0382c",457842,458381
"15783",5099494,5100033,"+","RVBD0382c_as",457842,458381
"395",5100033,5100114,"+","RVBD0382c-RVBD0383c intergenic region",458381,458462
"3957",5100033,5100114,"-","RVBD0382c-RVBD0383c intergenic region_as",458381,458462
"1582",5100114,5100968,"-","RVBD0383c",458462,459316
"15823",5100114,5100968,"+","RVBD0383c_as",458462,459316
"396",5100968,5101109,"+","RVBD0383c-RVBD0384c intergenic region",459316,459457
"39610",5100968,5101109,"-","RVBD0383c-RVBD0384c intergenic region_as",459316,459457
"1586",5101109,5103655,"-","RVBD0384c",459457,462003
"15863",5101109,5103655,"+","RVBD0384c_as",459457,462003
"397",5103655,5103788,"+","RVBD0384c-RVBD0385 intergenic region",462003,462136
"3971",5103655,5103788,"-","RVBD0384c-RVBD0385 intergenic region_as",462003,462136
"1590",5103788,5104960,"+","RVBD0385",462136,463308
"15901",5103788,5104960,"-","RVBD0385_as",462136,463308
"39810",5104960,5105064,"+","RVBD0385-RVBD0386 intergenic region",463308,463412
"398101",5104960,5105064,"-","RVBD0385-RVBD0386 intergenic region_as",463308,463412
"1594",5105064,5108321,"+","RVBD0386",463412,466669
"15943",5105064,5108321,"-","RVBD0386_as",463412,466669
"399",5108321,5108325,"+","RVBD0386-RVBD0387c intergenic region",466669,466673
"3996",5108321,5108325,"-","RVBD0386-RVBD0387c intergenic region_as",466669,466673
"1598",5108325,5109656,"-","RVBD0387c",466673,468004
"15983",5108325,5109656,"+","RVBD0387c_as",466673,468004
"400",5109656,5109990,"+","RVBD0387c-RVBD0389 intergenic region",468004,468338
"40010",5109656,5109990,"-","RVBD0387c-RVBD0389 intergenic region_as",468004,468338
"1602",5109990,5111249,"+","RVBD0389",468338,469597
"16023",5109990,5111249,"-","RVBD0389_as",468338,469597
"1606",5111246,5111668,"+","RVBD0390",469594,470016
"16063",5111246,5111668,"-","RVBD0390_as",469594,470016
"1610",5111665,5112885,"+","RVBD0391",470013,471233
"16103",5111665,5112885,"-","RVBD0391_as",470013,471233
"1614",5112882,5114294,"-","RVBD0392c",471230,472642
"16141",5112882,5114294,"+","RVBD0392c_as",471230,472642
"404",5114294,5114436,"+","RVBD0392c-RVBD0393 intergenic region",472642,472784
"4044",5114294,5114436,"-","RVBD0392c-RVBD0393 intergenic region_as",472642,472784
"1618",5114436,5115761,"+","RVBD0393",472784,474109
"16183",5114436,5115761,"-","RVBD0393_as",472784,474109
"405",5115761,5115777,"+","RVBD0393-RVBD0394c intergenic region",474109,474125
"4051",5115761,5115777,"-","RVBD0393-RVBD0394c intergenic region_as",474109,474125
"1622",5115777,5116496,"-","RVBD0394c",474125,474844
"16221",5115777,5116496,"+","RVBD0394c_as",474125,474844
"40610",5116496,5116595,"+","RVBD0394c-RVBD0395 intergenic region",474844,474943
"406101",5116496,5116595,"-","RVBD0394c-RVBD0395 intergenic region_as",474844,474943
"1626",5116595,5116999,"+","RVBD0395",474943,475347
"16263",5116595,5116999,"-","RVBD0395_as",474943,475347
"407",5116999,5117005,"+","RVBD0395-RVBD0396 intergenic region",475347,475353
"4072",5116999,5117005,"-","RVBD0395-RVBD0396 intergenic region_as",475347,475353
"1630",5117005,5117397,"+","RVBD0396",475353,475745
"16303",5117005,5117397,"-","RVBD0396_as",475353,475745
"408",5117397,5117471,"+","RVBD0396-RVBD0397 intergenic region",475745,475819
"4081",5117397,5117471,"-","RVBD0396-RVBD0397 intergenic region_as",475745,475819
"1634",5117471,5117839,"+","RVBD0397",475819,476187
"16341",5117471,5117839,"-","RVBD0397_as",475819,476187
"409",5117839,5118049,"+","RVBD0397-RVBD0397A intergenic region",476187,476397
"4091",5117839,5118049,"-","RVBD0397-RVBD0397A intergenic region_as",476187,476397
"1638",5118049,5118297,"+","RVBD0397A",476397,476645
"16381",5118049,5118297,"-","RVBD0397A_as",476397,476645
"4101",5118297,5118334,"+","RVBD0397A-RVBD0398c intergenic region",476645,476682
"41011",5118297,5118334,"-","RVBD0397A-RVBD0398c intergenic region_as",476645,476682
"1642",5118334,5118975,"-","RVBD0398c",476682,477323
"16421",5118334,5118975,"+","RVBD0398c_as",476682,477323
"411",5118975,5118982,"+","RVBD0398c-RVBD0399c intergenic region",477323,477330
"4111",5118975,5118982,"-","RVBD0398c-RVBD0399c intergenic region_as",477323,477330
"1646",5118982,5120211,"-","RVBD0399c",477330,478559
"16462",5118982,5120211,"+","RVBD0399c_as",477330,478559
"412",5120211,5120221,"+","RVBD0399c-RVBD0400c intergenic region",478559,478569
"4121",5120211,5120221,"-","RVBD0399c-RVBD0400c intergenic region_as",478559,478569
"1650",5120221,5121408,"-","RVBD0400c",478569,479756
"16502",5120221,5121408,"+","RVBD0400c_as",478569,479756
"413",5121408,5121444,"+","RVBD0400c-RVBD0401 intergenic region",479756,479792
"4131",5121408,5121444,"-","RVBD0400c-RVBD0401 intergenic region_as",479756,479792
"1654",5121444,5121815,"+","RVBD0401",479792,480163
"16542",5121444,5121815,"-","RVBD0401_as",479792,480163
"4141",5121815,5122010,"+","RVBD0401-RVBD0402c intergenic region",480163,480358
"41411",5121815,5122010,"-","RVBD0401-RVBD0402c intergenic region_as",480163,480358
"1658",5122010,5124886,"-","RVBD0402c",480358,483234
"16581",5122010,5124886,"+","RVBD0402c_as",480358,483234
"1662",5124883,5125311,"-","RVBD0403c",483231,483659
"16622",5124883,5125311,"+","RVBD0403c_as",483231,483659
"416",5125311,5125632,"+","RVBD0403c-RVBD0404 intergenic region",483659,483980
"4161",5125311,5125632,"-","RVBD0403c-RVBD0404 intergenic region_as",483659,483980
"1666",5125632,5127389,"+","RVBD0404",483980,485737
"16662",5125632,5127389,"-","RVBD0404_as",483980,485737
"1670",5127386,5131594,"+","RVBD0405",485734,489942
"16702",5127386,5131594,"-","RVBD0405_as",485734,489942
"1674",5131542,5132360,"-","RVBD0406c",489890,490708
"16741",5131542,5132360,"+","RVBD0406c_as",489890,490708
"419",5132360,5132438,"+","RVBD0406c-RVBD0407 intergenic region",490708,490786
"4191",5132360,5132438,"-","RVBD0406c-RVBD0407 intergenic region_as",490708,490786
"1678",5132438,5133448,"+","RVBD0407",490786,491796
"16781",5132438,5133448,"-","RVBD0407_as",490786,491796
"1682",5133441,5135513,"+","RVBD0408",491789,493861
"16822",5133441,5135513,"-","RVBD0408_as",491789,493861
"1686",5135506,5136663,"+","RVBD0409",493854,495011
"16862",5135506,5136663,"-","RVBD0409_as",493854,495011
"4221",5136663,5136717,"+","RVBD0409-RVBD0410c intergenic region",495011,495065
"42211",5136663,5136717,"-","RVBD0409-RVBD0410c intergenic region_as",495011,495065
"1690",5136717,5138969,"-","RVBD0410c",495065,497317
"16902",5136717,5138969,"+","RVBD0410c_as",495065,497317
"1694",5138969,5139955,"-","RVBD0411c",497317,498303
"423",5138969,5138969,"+","RVBD0410c-RVBD0411c intergenic region",497317,497317
"16941",5138969,5139955,"+","RVBD0411c_as",497317,498303
"4231",5138969,5138969,"-","RVBD0410c-RVBD0411c intergenic region_as",497317,497317
"1698",5139955,5141274,"-","RVBD0412c",498303,499622
"424",5139955,5139955,"+","RVBD0411c-RVBD0412c intergenic region",498303,498303
"16982",5139955,5141274,"+","RVBD0412c_as",498303,499622
"4241",5139955,5139955,"-","RVBD0411c-RVBD0412c intergenic region_as",498303,498303
"425",5141274,5141368,"+","RVBD0412c-RVBD0413 intergenic region",499622,499716
"4251",5141274,5141368,"-","RVBD0412c-RVBD0413 intergenic region_as",499622,499716
"1702",5141368,5142021,"+","RVBD0413",499716,500369
"17022",5141368,5142021,"-","RVBD0413_as",499716,500369
"1706",5142005,5142673,"-","RVBD0414c",500353,501021
"17062",5142005,5142673,"+","RVBD0414c_as",500353,501021
"427",5142673,5142803,"+","RVBD0414c-RVBD0415 intergenic region",501021,501151
"4271",5142673,5142803,"-","RVBD0414c-RVBD0415 intergenic region_as",501021,501151
"1710",5142803,5143825,"+","RVBD0415",501151,502173
"17102",5142803,5143825,"-","RVBD0415_as",501151,502173
"1714",5143822,5144028,"+","RVBD0416",502170,502376
"17141",5143822,5144028,"-","RVBD0416_as",502170,502376
"1718",5144021,5144779,"+","RVBD0417",502369,503127
"17182",5144021,5144779,"-","RVBD0417_as",502369,503127
"4301",5144779,5145151,"+","RVBD0417-RVBD0418 intergenic region",503127,503499
"43011",5144779,5145151,"-","RVBD0417-RVBD0418 intergenic region_as",503127,503499
"1722",5145151,5146653,"+","RVBD0418",503499,505001
"17222",5145151,5146653,"-","RVBD0418_as",503499,505001
"431",5146653,5146741,"+","RVBD0418-RVBD0419 intergenic region",505001,505089
"4311",5146653,5146741,"-","RVBD0418-RVBD0419 intergenic region_as",505001,505089
"1726",5146741,5148237,"+","RVBD0419",505089,506585
"17261",5146741,5148237,"-","RVBD0419_as",505089,506585
"1730",5148216,5148626,"-","RVBD0420c",506564,506974
"17302",5148216,5148626,"+","RVBD0420c_as",506564,506974
"433",5148626,5148787,"+","RVBD0420c-RVBD0421c intergenic region",506974,507135
"4331",5148626,5148787,"-","RVBD0420c-RVBD0421c intergenic region_as",506974,507135
"1734",5148787,5149416,"-","RVBD0421c",507135,507764
"17342",5148787,5149416,"+","RVBD0421c_as",507135,507764
"1738",5149413,5150210,"-","RVBD0422c",507761,508558
"17382",5149413,5150210,"+","RVBD0422c_as",507761,508558
"435",5150210,5150237,"+","RVBD0422c-RVBD0423c intergenic region",508558,508585
"4351",5150210,5150237,"-","RVBD0422c-RVBD0423c intergenic region_as",508558,508585
"1742",5150237,5151880,"-","RVBD0423c",508585,510228
"17422",5150237,5151880,"+","RVBD0423c_as",508585,510228
"436",5151880,5152032,"+","RVBD0423c-RVBD0424c intergenic region",510228,510380
"4361",5151880,5152032,"-","RVBD0423c-RVBD0424c intergenic region_as",510228,510380
"1746",5152032,5152307,"-","RVBD0424c",510380,510655
"17462",5152032,5152307,"+","RVBD0424c_as",510380,510655
"437",5152307,5152357,"+","RVBD0424c-RVBD0425c intergenic region",510655,510705
"4371",5152307,5152357,"-","RVBD0424c-RVBD0425c intergenic region_as",510655,510705
"1750",5152357,5156976,"-","RVBD0425c",510705,515324
"17502",5152357,5156976,"+","RVBD0425c_as",510705,515324
"4381",5156976,5157028,"+","RVBD0425c-RVBD0426c intergenic region",515324,515376
"43811",5156976,5157028,"-","RVBD0425c-RVBD0426c intergenic region_as",515324,515376
"1754",5157028,5157471,"-","RVBD0426c",515376,515819
"17542",5157028,5157471,"+","RVBD0426c_as",515376,515819
"439",5157471,5157672,"+","RVBD0426c-RVBD0427c intergenic region",515819,516020
"4391",5157471,5157672,"-","RVBD0426c-RVBD0427c intergenic region_as",515819,516020
"1758",5157672,5158547,"-","RVBD0427c",516020,516895
"17582",5157672,5158547,"+","RVBD0427c_as",516020,516895
"440",5158547,5158550,"+","RVBD0427c-RVBD0428c intergenic region",516895,516898
"4401",5158547,5158550,"-","RVBD0427c-RVBD0428c intergenic region_as",516895,516898
"1762",5158550,5159458,"-","RVBD0428c",516898,517806
"17622",5158550,5159458,"+","RVBD0428c_as",516898,517806
"1766",5159458,5160051,"-","RVBD0429c",517806,518399
"441",5159458,5159458,"+","RVBD0428c-RVBD0429c intergenic region",517806,517806
"17662",5159458,5160051,"+","RVBD0429c_as",517806,518399
"4411",5159458,5159458,"-","RVBD0428c-RVBD0429c intergenic region_as",517806,517806
"4421",5160051,5160388,"+","RVBD0429c-RVBD0430 intergenic region",518399,518736
"44211",5160051,5160388,"-","RVBD0429c-RVBD0430 intergenic region_as",518399,518736
"1770",5160388,5160696,"+","RVBD0430",518736,519044
"17701",5160388,5160696,"-","RVBD0430_as",518736,519044
"443",5160696,5160728,"+","RVBD0430-RVBD0431 intergenic region",519044,519076
"4431",5160696,5160728,"-","RVBD0430-RVBD0431 intergenic region_as",519044,519076
"1774",5160728,5161222,"+","RVBD0431",519076,519570
"17741",5160728,5161222,"-","RVBD0431_as",519076,519570
"444",5161222,5161255,"+","RVBD0431-RVBD0432 intergenic region",519570,519603
"4441",5161222,5161255,"-","RVBD0431-RVBD0432 intergenic region_as",519570,519603
"1778",5161255,5161977,"+","RVBD0432",519603,520325
"17782",5161255,5161977,"-","RVBD0432_as",519603,520325
"445",5161977,5161979,"+","RVBD0432-RVBD0433 intergenic region",520325,520327
"4451",5161977,5161979,"-","RVBD0432-RVBD0433 intergenic region_as",520325,520327
"1782",5161979,5163109,"+","RVBD0433",520327,521457
"17822",5161979,5163109,"-","RVBD0433_as",520327,521457
"4461",5163109,5163169,"+","RVBD0433-RVBD0434 intergenic region",521457,521517
"44611",5163109,5163169,"-","RVBD0433-RVBD0434 intergenic region_as",521457,521517
"1786",5163169,5163822,"+","RVBD0434",521517,522170
"17862",5163169,5163822,"-","RVBD0434_as",521517,522170
"447",5163822,5164002,"+","RVBD0434-RVBD0435c intergenic region",522170,522350
"4471",5163822,5164002,"-","RVBD0434-RVBD0435c intergenic region_as",522170,522350
"1790",5164002,5166188,"-","RVBD0435c",522350,524536
"17902",5164002,5166188,"+","RVBD0435c_as",522350,524536
"1794",5166185,5167045,"-","RVBD0436c",524533,525393
"17942",5166185,5167045,"+","RVBD0436c_as",524533,525393
"1798",5167042,5167737,"-","RVBD0437c",525390,526085
"17982",5167042,5167737,"+","RVBD0437c_as",525390,526085
"4501",5167737,5167798,"+","RVBD0437c-RVBD0438c intergenic region",526085,526146
"45011",5167737,5167798,"-","RVBD0437c-RVBD0438c intergenic region_as",526085,526146
"1802",5167798,5169015,"-","RVBD0438c",526146,527363
"18022",5167798,5169015,"+","RVBD0438c_as",526146,527363
"451",5169015,5169034,"+","RVBD0438c-RVBD0439c intergenic region",527363,527382
"4512",5169015,5169034,"-","RVBD0438c-RVBD0439c intergenic region_as",527363,527382
"1806",5169034,5169969,"-","RVBD0439c",527382,528317
"18062",5169034,5169969,"+","RVBD0439c_as",527382,528317
"452",5169969,5170263,"+","RVBD0439c-RVBD0440 intergenic region",528317,528611
"4521",5169969,5170263,"-","RVBD0439c-RVBD0440 intergenic region_as",528317,528611
"1810",5170263,5171885,"+","RVBD0440",528611,530233
"18102",5170263,5171885,"-","RVBD0440_as",528611,530233
"453",5171885,5171951,"+","RVBD0440-RVBD0441c intergenic region",530233,530299
"4531",5171885,5171951,"-","RVBD0440-RVBD0441c intergenic region_as",530233,530299
"1814",5171951,5172379,"-","RVBD0441c",530299,530727
"18142",5171951,5172379,"+","RVBD0441c_as",530299,530727
"4541",5172379,5172406,"+","RVBD0441c-RVBD0442c intergenic region",530727,530754
"45411",5172379,5172406,"-","RVBD0441c-RVBD0442c intergenic region_as",530727,530754
"1818",5172406,5173869,"-","RVBD0442c",530754,532217
"18182",5172406,5173869,"+","RVBD0442c_as",530754,532217
"455",5173869,5174051,"+","RVBD0442c-RVBD0443 intergenic region",532217,532399
"4551",5173869,5174051,"-","RVBD0442c-RVBD0443 intergenic region_as",532217,532399
"1822",5174051,5174566,"+","RVBD0443",532399,532914
"18222",5174051,5174566,"-","RVBD0443_as",532399,532914
"456",5174566,5174746,"+","RVBD0443-RVBD0444c intergenic region",532914,533094
"4561",5174566,5174746,"-","RVBD0443-RVBD0444c intergenic region_as",532914,533094
"1826",5174746,5175444,"-","RVBD0444c",533094,533792
"18262",5174746,5175444,"+","RVBD0444c_as",533094,533792
"457",5175444,5175488,"+","RVBD0444c-RVBD0445c intergenic region",533792,533836
"4571",5175444,5175488,"-","RVBD0444c-RVBD0445c intergenic region_as",533792,533836
"1830",5175488,5176051,"-","RVBD0445c",533836,534399
"18302",5175488,5176051,"+","RVBD0445c_as",533836,534399
"4581",5176051,5176100,"+","RVBD0445c-RVBD0446c intergenic region",534399,534448
"45811",5176051,5176100,"-","RVBD0445c-RVBD0446c intergenic region_as",534399,534448
"1834",5176100,5176870,"-","RVBD0446c",534448,535218
"18342",5176100,5176870,"+","RVBD0446c_as",534448,535218
"459",5176870,5176879,"+","RVBD0446c-RVBD0447c intergenic region",535218,535227
"4591",5176870,5176879,"-","RVBD0446c-RVBD0447c intergenic region_as",535218,535227
"1838",5176879,5178162,"-","RVBD0447c",535227,536510
"18382",5176879,5178162,"+","RVBD0447c_as",535227,536510
"1842",5178159,5178824,"-","RVBD0448c",536507,537172
"18422",5178159,5178824,"+","RVBD0448c_as",536507,537172
"461",5178824,5178884,"+","RVBD0448c-RVBD0449c intergenic region",537172,537232
"4612",5178824,5178884,"-","RVBD0448c-RVBD0449c intergenic region_as",537172,537232
"1846",5178884,5180203,"-","RVBD0449c",537232,538551
"18462",5178884,5180203,"+","RVBD0449c_as",537232,538551
"4621",5180203,5180243,"+","RVBD0449c-RVBD0450c intergenic region",538551,538591
"46211",5180203,5180243,"-","RVBD0449c-RVBD0450c intergenic region_as",538551,538591
"1850",5180243,5183146,"-","RVBD0450c",538591,541494
"18502",5180243,5183146,"+","RVBD0450c_as",538591,541494
"1854",5183143,5183565,"-","RVBD0451c",541491,541913
"18542",5183143,5183565,"+","RVBD0451c_as",541491,541913
"464",5183565,5183797,"+","RVBD0451c-RVBD0452 intergenic region",541913,542145
"4641",5183565,5183797,"-","RVBD0451c-RVBD0452 intergenic region_as",541913,542145
"1858",5183797,5184507,"+","RVBD0452",542145,542855
"18582",5183797,5184507,"-","RVBD0452_as",542145,542855
"465",5184507,5184829,"+","RVBD0452-RVBD0453 intergenic region",542855,543177
"4651",5184507,5184829,"-","RVBD0452-RVBD0453 intergenic region_as",542855,543177
"1862",5184829,5186385,"+","RVBD0453",543177,544733
"18621",5184829,5186385,"-","RVBD0453_as",543177,544733
"4661",5186385,5186490,"+","RVBD0453-RVBD0454 intergenic region",544733,544838
"46611",5186385,5186490,"-","RVBD0453-RVBD0454 intergenic region_as",544733,544838
"1866",5186490,5186840,"+","RVBD0454",544838,545188
"18662",5186490,5186840,"-","RVBD0454_as",544838,545188
"467",5186840,5187030,"+","RVBD0454-RVBD0455c intergenic region",545188,545378
"4671",5186840,5187030,"-","RVBD0454-RVBD0455c intergenic region_as",545188,545378
"1870",5187030,5187476,"-","RVBD0455c",545378,545824
"18702",5187030,5187476,"+","RVBD0455c_as",545378,545824
"468",5187476,5187544,"+","RVBD0455c-RVBD0456c intergenic region",545824,545892
"4681",5187476,5187544,"-","RVBD0455c-RVBD0456c intergenic region_as",545824,545892
"1874",5187544,5188458,"-","RVBD0456c",545892,546806
"18742",5187544,5188458,"+","RVBD0456c_as",545892,546806
"469",5188458,5188731,"+","RVBD0456c-RVBD0456A intergenic region",546806,547079
"4691",5188458,5188731,"-","RVBD0456c-RVBD0456A intergenic region_as",546806,547079
"1878",5188731,5189012,"-","RVBD0456A",547079,547360
"18782",5188731,5189012,"+","RVBD0456A_as",547079,547360
"1882",5188999,5189172,"-","RVBD0456B",547347,547520
"18822",5188999,5189172,"+","RVBD0456B_as",547347,547520
"471",5189172,5189241,"+","RVBD0456B-RVBD0457c intergenic region",547520,547589
"4711",5189172,5189241,"-","RVBD0456B-RVBD0457c intergenic region_as",547520,547589
"1886",5189241,5191262,"-","RVBD0457c",547589,549610
"18862",5189241,5191262,"+","RVBD0457c_as",547589,549610
"472",5191262,5191330,"+","RVBD0457c-RVBD0458 intergenic region",549610,549678
