"","start","end","strand","seqnames","unique_row_ID"
"1384",5401202,5401752,"+","H37Rv",2765
"9405",5401202,5401752,"-","H37Rv",2766
"1385",5401752,5402302,"+","H37Rv",2767
"9406",5401752,5402302,"-","H37Rv",2768
"1386",5402302,5402852,"+","H37Rv",2769
"9407",5402302,5402852,"-","H37Rv",2770
"1387",5402852,5403402,"+","H37Rv",2771
"9408",5402852,5403402,"-","H37Rv",2772
"1388",5403402,5403952,"+","H37Rv",2773
"9409",5403402,5403952,"-","H37Rv",2774
"1389",5403952,5404502,"+","H37Rv",2775
"9410",5403952,5404502,"-","H37Rv",2776
"1390",5404502,5405052,"+","H37Rv",2777
"9411",5404502,5405052,"-","H37Rv",2778
"1391",5405052,5405602,"+","H37Rv",2779
"9412",5405052,5405602,"-","H37Rv",2780
"1392",5405602,5406152,"+","H37Rv",2781
"9413",5405602,5406152,"-","H37Rv",2782
"1393",5406152,5406702,"+","H37Rv",2783
"9414",5406152,5406702,"-","H37Rv",2784
"1394",5406702,5407252,"+","H37Rv",2785
"9415",5406702,5407252,"-","H37Rv",2786
"1395",5407252,5407802,"+","H37Rv",2787
"9416",5407252,5407802,"-","H37Rv",2788
"1396",5407802,5408352,"+","H37Rv",2789
"9417",5407802,5408352,"-","H37Rv",2790
"1397",5408352,5408902,"+","H37Rv",2791
"9418",5408352,5408902,"-","H37Rv",2792
"1398",5408902,5409452,"+","H37Rv",2793
"9419",5408902,5409452,"-","H37Rv",2794
"1399",5409452,5410002,"+","H37Rv",2795
"9420",5409452,5410002,"-","H37Rv",2796
"1400",5410002,5410552,"+","H37Rv",2797
"9421",5410002,5410552,"-","H37Rv",2798
"1401",5410552,5411102,"+","H37Rv",2799
"9422",5410552,5411102,"-","H37Rv",2800
"1402",5411102,5411652,"+","H37Rv",2801
"9423",5411102,5411652,"-","H37Rv",2802
"1403",5411652,5412202,"+","H37Rv",2803
"9424",5411652,5412202,"-","H37Rv",2804
"1404",5412202,5412752,"+","H37Rv",2805
"9425",5412202,5412752,"-","H37Rv",2806
"1405",5412752,5413302,"+","H37Rv",2807
"9426",5412752,5413302,"-","H37Rv",2808
"1406",5413302,5413852,"+","H37Rv",2809
"9427",5413302,5413852,"-","H37Rv",2810
"1407",5413852,5414402,"+","H37Rv",2811
"9428",5413852,5414402,"-","H37Rv",2812
"1408",5414402,5414952,"+","H37Rv",2813
"9429",5414402,5414952,"-","H37Rv",2814
"1409",5414952,5415502,"+","H37Rv",2815
"9430",5414952,5415502,"-","H37Rv",2816
"1410",5415502,5416052,"+","H37Rv",2817
"9431",5415502,5416052,"-","H37Rv",2818
"1411",5416052,5416602,"+","H37Rv",2819
"9432",5416052,5416602,"-","H37Rv",2820
"1412",5416602,5417152,"+","H37Rv",2821
"9433",5416602,5417152,"-","H37Rv",2822
"1413",5417152,5417702,"+","H37Rv",2823
"9434",5417152,5417702,"-","H37Rv",2824
"1414",5417702,5418252,"+","H37Rv",2825
"9435",5417702,5418252,"-","H37Rv",2826
"1415",5418252,5418802,"+","H37Rv",2827
"9436",5418252,5418802,"-","H37Rv",2828
"1416",5418802,5419352,"+","H37Rv",2829
"9437",5418802,5419352,"-","H37Rv",2830
"1417",5419352,5419902,"+","H37Rv",2831
"9438",5419352,5419902,"-","H37Rv",2832
"1418",5419902,5420452,"+","H37Rv",2833
"9439",5419902,5420452,"-","H37Rv",2834
"1419",5420452,5421002,"+","H37Rv",2835
"9440",5420452,5421002,"-","H37Rv",2836
"1420",5421002,5421552,"+","H37Rv",2837
"9441",5421002,5421552,"-","H37Rv",2838
"1421",5421552,5422102,"+","H37Rv",2839
"9442",5421552,5422102,"-","H37Rv",2840
"1422",5422102,5422652,"+","H37Rv",2841
"9443",5422102,5422652,"-","H37Rv",2842
"1423",5422652,5423202,"+","H37Rv",2843
"9444",5422652,5423202,"-","H37Rv",2844
"1424",5423202,5423752,"+","H37Rv",2845
"9445",5423202,5423752,"-","H37Rv",2846
"1425",5423752,5424302,"+","H37Rv",2847
"9446",5423752,5424302,"-","H37Rv",2848
"1426",5424302,5424852,"+","H37Rv",2849
"9447",5424302,5424852,"-","H37Rv",2850
"1427",5424852,5425402,"+","H37Rv",2851
"9448",5424852,5425402,"-","H37Rv",2852
"1428",5425402,5425952,"+","H37Rv",2853
"9449",5425402,5425952,"-","H37Rv",2854
"1429",5425952,5426502,"+","H37Rv",2855
"9450",5425952,5426502,"-","H37Rv",2856
"1430",5426502,5427052,"+","H37Rv",2857
"9451",5426502,5427052,"-","H37Rv",2858
"1431",5427052,5427602,"+","H37Rv",2859
"9452",5427052,5427602,"-","H37Rv",2860
"1432",5427602,5428152,"+","H37Rv",2861
"9453",5427602,5428152,"-","H37Rv",2862
"1433",5428152,5428702,"+","H37Rv",2863
"9454",5428152,5428702,"-","H37Rv",2864
"1434",5428702,5429252,"+","H37Rv",2865
"9455",5428702,5429252,"-","H37Rv",2866
"1435",5429252,5429802,"+","H37Rv",2867
"9456",5429252,5429802,"-","H37Rv",2868
"1436",5429802,5430352,"+","H37Rv",2869
"9457",5429802,5430352,"-","H37Rv",2870
"1437",5430352,5430902,"+","H37Rv",2871
"9458",5430352,5430902,"-","H37Rv",2872
"1438",5430902,5431452,"+","H37Rv",2873
"9459",5430902,5431452,"-","H37Rv",2874
"1439",5431452,5432002,"+","H37Rv",2875
"9460",5431452,5432002,"-","H37Rv",2876
"1440",5432002,5432552,"+","H37Rv",2877
"9461",5432002,5432552,"-","H37Rv",2878
"1441",5432552,5433102,"+","H37Rv",2879
"9462",5432552,5433102,"-","H37Rv",2880
"1442",5433102,5433652,"+","H37Rv",2881
"9463",5433102,5433652,"-","H37Rv",2882
"1443",5433652,5434202,"+","H37Rv",2883
"9464",5433652,5434202,"-","H37Rv",2884
"1444",5434202,5434752,"+","H37Rv",2885
"9465",5434202,5434752,"-","H37Rv",2886
"1445",5434752,5435302,"+","H37Rv",2887
"9466",5434752,5435302,"-","H37Rv",2888
"1446",5435302,5435852,"+","H37Rv",2889
"9467",5435302,5435852,"-","H37Rv",2890
"1447",5435852,5436402,"+","H37Rv",2891
"9468",5435852,5436402,"-","H37Rv",2892
"1448",5436402,5436952,"+","H37Rv",2893
"9469",5436402,5436952,"-","H37Rv",2894
"1449",5436952,5437502,"+","H37Rv",2895
"9470",5436952,5437502,"-","H37Rv",2896
"1450",5437502,5438052,"+","H37Rv",2897
"9471",5437502,5438052,"-","H37Rv",2898
"1451",5438052,5438602,"+","H37Rv",2899
"9472",5438052,5438602,"-","H37Rv",2900
"1452",5438602,5439152,"+","H37Rv",2901
"9473",5438602,5439152,"-","H37Rv",2902
"1453",5439152,5439702,"+","H37Rv",2903
"9474",5439152,5439702,"-","H37Rv",2904
"1454",5439702,5440252,"+","H37Rv",2905
"9475",5439702,5440252,"-","H37Rv",2906
"1455",5440252,5440802,"+","H37Rv",2907
"9476",5440252,5440802,"-","H37Rv",2908
"1456",5440802,5441352,"+","H37Rv",2909
"9477",5440802,5441352,"-","H37Rv",2910
"1457",5441352,5441902,"+","H37Rv",2911
"9478",5441352,5441902,"-","H37Rv",2912
"1458",5441902,5442452,"+","H37Rv",2913
"9479",5441902,5442452,"-","H37Rv",2914
"1459",5442452,5443002,"+","H37Rv",2915
"9480",5442452,5443002,"-","H37Rv",2916
"1460",5443002,5443552,"+","H37Rv",2917
"9481",5443002,5443552,"-","H37Rv",2918
"1461",5443552,5444102,"+","H37Rv",2919
"9482",5443552,5444102,"-","H37Rv",2920
"1462",5444102,5444652,"+","H37Rv",2921
"9483",5444102,5444652,"-","H37Rv",2922
"1463",5444652,5445202,"+","H37Rv",2923
"9484",5444652,5445202,"-","H37Rv",2924
"1464",5445202,5445752,"+","H37Rv",2925
"9485",5445202,5445752,"-","H37Rv",2926
"1465",5445752,5446302,"+","H37Rv",2927
"9486",5445752,5446302,"-","H37Rv",2928
"1466",5446302,5446852,"+","H37Rv",2929
"9487",5446302,5446852,"-","H37Rv",2930
"1467",5446852,5447402,"+","H37Rv",2931
"9488",5446852,5447402,"-","H37Rv",2932
"1468",5447402,5447952,"+","H37Rv",2933
"9489",5447402,5447952,"-","H37Rv",2934
"1469",5447952,5448502,"+","H37Rv",2935
"9490",5447952,5448502,"-","H37Rv",2936
"1470",5448502,5449052,"+","H37Rv",2937
"9491",5448502,5449052,"-","H37Rv",2938
"1471",5449052,5449602,"+","H37Rv",2939
"9492",5449052,5449602,"-","H37Rv",2940
"1472",5449602,5450152,"+","H37Rv",2941
"9493",5449602,5450152,"-","H37Rv",2942
"1473",5450152,5450702,"+","H37Rv",2943
"9494",5450152,5450702,"-","H37Rv",2944
"1474",5450702,5451252,"+","H37Rv",2945
"9495",5450702,5451252,"-","H37Rv",2946
"1475",5451252,5451802,"+","H37Rv",2947
"9496",5451252,5451802,"-","H37Rv",2948
"1476",5451802,5452352,"+","H37Rv",2949
"9497",5451802,5452352,"-","H37Rv",2950
"1477",5452352,5452902,"+","H37Rv",2951
"9498",5452352,5452902,"-","H37Rv",2952
"1478",5452902,5453452,"+","H37Rv",2953
"9499",5452902,5453452,"-","H37Rv",2954
"1479",5453452,5454002,"+","H37Rv",2955
"9500",5453452,5454002,"-","H37Rv",2956
"1480",5454002,5454552,"+","H37Rv",2957
"9501",5454002,5454552,"-","H37Rv",2958
"1481",5454552,5455102,"+","H37Rv",2959
"9502",5454552,5455102,"-","H37Rv",2960
"1482",5455102,5455652,"+","H37Rv",2961
"9503",5455102,5455652,"-","H37Rv",2962
"1483",5455652,5456202,"+","H37Rv",2963
"9504",5455652,5456202,"-","H37Rv",2964
"1484",5456202,5456752,"+","H37Rv",2965
"9505",5456202,5456752,"-","H37Rv",2966
"1485",5456752,5457302,"+","H37Rv",2967
"9506",5456752,5457302,"-","H37Rv",2968
"1486",5457302,5457852,"+","H37Rv",2969
"9507",5457302,5457852,"-","H37Rv",2970
"1487",5457852,5458402,"+","H37Rv",2971
"9508",5457852,5458402,"-","H37Rv",2972
"1488",5458402,5458952,"+","H37Rv",2973
"9509",5458402,5458952,"-","H37Rv",2974
"1489",5458952,5459502,"+","H37Rv",2975
"9510",5458952,5459502,"-","H37Rv",2976
"1490",5459502,5460052,"+","H37Rv",2977
"9511",5459502,5460052,"-","H37Rv",2978
"1491",5460052,5460602,"+","H37Rv",2979
"9512",5460052,5460602,"-","H37Rv",2980
"1492",5460602,5461152,"+","H37Rv",2981
"9513",5460602,5461152,"-","H37Rv",2982
"1493",5461152,5461702,"+","H37Rv",2983
"9514",5461152,5461702,"-","H37Rv",2984
"1494",5461702,5462252,"+","H37Rv",2985
"9515",5461702,5462252,"-","H37Rv",2986
"1495",5462252,5462802,"+","H37Rv",2987
"9516",5462252,5462802,"-","H37Rv",2988
"1496",5462802,5463352,"+","H37Rv",2989
"9517",5462802,5463352,"-","H37Rv",2990
"1497",5463352,5463902,"+","H37Rv",2991
"9518",5463352,5463902,"-","H37Rv",2992
"1498",5463902,5464452,"+","H37Rv",2993
"9519",5463902,5464452,"-","H37Rv",2994
"1499",5464452,5465002,"+","H37Rv",2995
"9520",5464452,5465002,"-","H37Rv",2996
"1500",5465002,5465552,"+","H37Rv",2997
"9521",5465002,5465552,"-","H37Rv",2998
"1501",5465552,5466102,"+","H37Rv",2999
"9522",5465552,5466102,"-","H37Rv",3000
"1502",5466102,5466652,"+","H37Rv",3001
"9523",5466102,5466652,"-","H37Rv",3002
"1503",5466652,5467202,"+","H37Rv",3003
"9524",5466652,5467202,"-","H37Rv",3004
"1504",5467202,5467752,"+","H37Rv",3005
"9525",5467202,5467752,"-","H37Rv",3006
"1505",5467752,5468302,"+","H37Rv",3007
"9526",5467752,5468302,"-","H37Rv",3008
"1506",5468302,5468852,"+","H37Rv",3009
"9527",5468302,5468852,"-","H37Rv",3010
"1507",5468852,5469402,"+","H37Rv",3011
"9528",5468852,5469402,"-","H37Rv",3012
"1508",5469402,5469952,"+","H37Rv",3013
"9529",5469402,5469952,"-","H37Rv",3014
"1509",5469952,5470502,"+","H37Rv",3015
"9530",5469952,5470502,"-","H37Rv",3016
"1510",5470502,5471052,"+","H37Rv",3017
"9531",5470502,5471052,"-","H37Rv",3018
"1511",5471052,5471602,"+","H37Rv",3019
"9532",5471052,5471602,"-","H37Rv",3020
"1512",5471602,5472152,"+","H37Rv",3021
"9533",5471602,5472152,"-","H37Rv",3022
"1513",5472152,5472702,"+","H37Rv",3023
"9534",5472152,5472702,"-","H37Rv",3024
"1514",5472702,5473252,"+","H37Rv",3025
"9535",5472702,5473252,"-","H37Rv",3026
"1515",5473252,5473802,"+","H37Rv",3027
"9536",5473252,5473802,"-","H37Rv",3028
"1516",5473802,5474352,"+","H37Rv",3029
"9537",5473802,5474352,"-","H37Rv",3030
"1517",5474352,5474902,"+","H37Rv",3031
"9538",5474352,5474902,"-","H37Rv",3032
"1518",5474902,5475452,"+","H37Rv",3033
"9539",5474902,5475452,"-","H37Rv",3034
"1519",5475452,5476002,"+","H37Rv",3035
"9540",5475452,5476002,"-","H37Rv",3036
"1520",5476002,5476552,"+","H37Rv",3037
"9541",5476002,5476552,"-","H37Rv",3038
"1521",5476552,5477102,"+","H37Rv",3039
"9542",5476552,5477102,"-","H37Rv",3040
"1522",5477102,5477652,"+","H37Rv",3041
"9543",5477102,5477652,"-","H37Rv",3042
"1523",5477652,5478202,"+","H37Rv",3043
"9544",5477652,5478202,"-","H37Rv",3044
"1524",5478202,5478752,"+","H37Rv",3045
"9545",5478202,5478752,"-","H37Rv",3046
"1525",5478752,5479302,"+","H37Rv",3047
"9546",5478752,5479302,"-","H37Rv",3048
"1526",5479302,5479852,"+","H37Rv",3049
"9547",5479302,5479852,"-","H37Rv",3050
"1527",5479852,5480402,"+","H37Rv",3051
"9548",5479852,5480402,"-","H37Rv",3052
"1528",5480402,5480952,"+","H37Rv",3053
"9549",5480402,5480952,"-","H37Rv",3054
"1529",5480952,5481502,"+","H37Rv",3055
"9550",5480952,5481502,"-","H37Rv",3056
"1530",5481502,5482052,"+","H37Rv",3057
"9551",5481502,5482052,"-","H37Rv",3058
"1531",5482052,5482602,"+","H37Rv",3059
"9552",5482052,5482602,"-","H37Rv",3060
"1532",5482602,5483152,"+","H37Rv",3061
"9553",5482602,5483152,"-","H37Rv",3062
"1533",5483152,5483702,"+","H37Rv",3063
"9554",5483152,5483702,"-","H37Rv",3064
"1534",5483702,5484252,"+","H37Rv",3065
"9555",5483702,5484252,"-","H37Rv",3066
"1535",5484252,5484802,"+","H37Rv",3067
"9556",5484252,5484802,"-","H37Rv",3068
"1536",5484802,5485352,"+","H37Rv",3069
"9557",5484802,5485352,"-","H37Rv",3070
"1537",5485352,5485902,"+","H37Rv",3071
"9558",5485352,5485902,"-","H37Rv",3072
"1538",5485902,5486452,"+","H37Rv",3073
"9559",5485902,5486452,"-","H37Rv",3074
"1539",5486452,5487002,"+","H37Rv",3075
"9560",5486452,5487002,"-","H37Rv",3076
"1540",5487002,5487552,"+","H37Rv",3077
"9561",5487002,5487552,"-","H37Rv",3078
"1541",5487552,5488102,"+","H37Rv",3079
"9562",5487552,5488102,"-","H37Rv",3080
"1542",5488102,5488652,"+","H37Rv",3081
"9563",5488102,5488652,"-","H37Rv",3082
"1543",5488652,5489202,"+","H37Rv",3083
"9564",5488652,5489202,"-","H37Rv",3084
"1544",5489202,5489752,"+","H37Rv",3085
"9565",5489202,5489752,"-","H37Rv",3086
"1545",5489752,5490302,"+","H37Rv",3087
"9566",5489752,5490302,"-","H37Rv",3088
"1546",5490302,5490852,"+","H37Rv",3089
"9567",5490302,5490852,"-","H37Rv",3090
"1547",5490852,5491402,"+","H37Rv",3091
"9568",5490852,5491402,"-","H37Rv",3092
"1548",5491402,5491952,"+","H37Rv",3093
"9569",5491402,5491952,"-","H37Rv",3094
"1549",5491952,5492502,"+","H37Rv",3095
"9570",5491952,5492502,"-","H37Rv",3096
"1550",5492502,5493052,"+","H37Rv",3097
"9571",5492502,5493052,"-","H37Rv",3098
"1551",5493052,5493602,"+","H37Rv",3099
"9572",5493052,5493602,"-","H37Rv",3100
"1552",5493602,5494152,"+","H37Rv",3101
"9573",5493602,5494152,"-","H37Rv",3102
"1553",5494152,5494702,"+","H37Rv",3103
"9574",5494152,5494702,"-","H37Rv",3104
"1554",5494702,5495252,"+","H37Rv",3105
"9575",5494702,5495252,"-","H37Rv",3106
"1555",5495252,5495802,"+","H37Rv",3107
"9576",5495252,5495802,"-","H37Rv",3108
"1556",5495802,5496352,"+","H37Rv",3109
"9577",5495802,5496352,"-","H37Rv",3110
"1557",5496352,5496902,"+","H37Rv",3111
"9578",5496352,5496902,"-","H37Rv",3112
"1558",5496902,5497452,"+","H37Rv",3113
"9579",5496902,5497452,"-","H37Rv",3114
"1559",5497452,5498002,"+","H37Rv",3115
"9580",5497452,5498002,"-","H37Rv",3116
"1560",5498002,5498552,"+","H37Rv",3117
"9581",5498002,5498552,"-","H37Rv",3118
"1561",5498552,5499102,"+","H37Rv",3119
"9582",5498552,5499102,"-","H37Rv",3120
"1562",5499102,5499652,"+","H37Rv",3121
"9583",5499102,5499652,"-","H37Rv",3122
"1563",5499652,5500202,"+","H37Rv",3123
"9584",5499652,5500202,"-","H37Rv",3124
"1564",5500202,5500752,"+","H37Rv",3125
"9585",5500202,5500752,"-","H37Rv",3126
"1565",5500752,5501302,"+","H37Rv",3127
"9586",5500752,5501302,"-","H37Rv",3128
"1566",5501302,5501852,"+","H37Rv",3129
"9587",5501302,5501852,"-","H37Rv",3130
"1567",5501852,5502402,"+","H37Rv",3131
"9588",5501852,5502402,"-","H37Rv",3132
"1568",5502402,5502952,"+","H37Rv",3133
"9589",5502402,5502952,"-","H37Rv",3134
"1569",5502952,5503502,"+","H37Rv",3135
"9590",5502952,5503502,"-","H37Rv",3136
"1570",5503502,5504052,"+","H37Rv",3137
"9591",5503502,5504052,"-","H37Rv",3138
"1571",5504052,5504602,"+","H37Rv",3139
"9592",5504052,5504602,"-","H37Rv",3140
"1572",5504602,5505152,"+","H37Rv",3141
"9593",5504602,5505152,"-","H37Rv",3142
"1573",5505152,5505702,"+","H37Rv",3143
"9594",5505152,5505702,"-","H37Rv",3144
"1574",5505702,5506252,"+","H37Rv",3145
"9595",5505702,5506252,"-","H37Rv",3146
"1575",5506252,5506802,"+","H37Rv",3147
"9596",5506252,5506802,"-","H37Rv",3148
"1576",5506802,5507352,"+","H37Rv",3149
"9597",5506802,5507352,"-","H37Rv",3150
"1577",5507352,5507902,"+","H37Rv",3151
"9598",5507352,5507902,"-","H37Rv",3152
"1578",5507902,5508452,"+","H37Rv",3153
"9599",5507902,5508452,"-","H37Rv",3154
"1579",5508452,5509002,"+","H37Rv",3155
"9600",5508452,5509002,"-","H37Rv",3156
"1580",5509002,5509552,"+","H37Rv",3157
"9601",5509002,5509552,"-","H37Rv",3158
"1581",5509552,5510102,"+","H37Rv",3159
"9602",5509552,5510102,"-","H37Rv",3160
"1582",5510102,5510652,"+","H37Rv",3161
"9603",5510102,5510652,"-","H37Rv",3162
"1583",5510652,5511202,"+","H37Rv",3163
"9604",5510652,5511202,"-","H37Rv",3164
"1584",5511202,5511752,"+","H37Rv",3165
"9605",5511202,5511752,"-","H37Rv",3166
"1585",5511752,5512302,"+","H37Rv",3167
"9606",5511752,5512302,"-","H37Rv",3168
"1586",5512302,5512852,"+","H37Rv",3169
"9607",5512302,5512852,"-","H37Rv",3170
"1587",5512852,5513402,"+","H37Rv",3171
"9608",5512852,5513402,"-","H37Rv",3172
"1588",5513402,5513952,"+","H37Rv",3173
"9609",5513402,5513952,"-","H37Rv",3174
"1589",5513952,5514502,"+","H37Rv",3175
"9610",5513952,5514502,"-","H37Rv",3176
"1590",5514502,5515052,"+","H37Rv",3177
"9611",5514502,5515052,"-","H37Rv",3178
"1591",5515052,5515602,"+","H37Rv",3179
"9612",5515052,5515602,"-","H37Rv",3180
"1592",5515602,5516152,"+","H37Rv",3181
"9613",5515602,5516152,"-","H37Rv",3182
"1593",5516152,5516702,"+","H37Rv",3183
"9614",5516152,5516702,"-","H37Rv",3184
"1594",5516702,5517252,"+","H37Rv",3185
"9615",5516702,5517252,"-","H37Rv",3186
"1595",5517252,5517802,"+","H37Rv",3187
"9616",5517252,5517802,"-","H37Rv",3188
"1596",5517802,5518352,"+","H37Rv",3189
"9617",5517802,5518352,"-","H37Rv",3190
"1597",5518352,5518902,"+","H37Rv",3191
"9618",5518352,5518902,"-","H37Rv",3192
"1598",5518902,5519452,"+","H37Rv",3193
"9619",5518902,5519452,"-","H37Rv",3194
"1599",5519452,5520002,"+","H37Rv",3195
"9620",5519452,5520002,"-","H37Rv",3196
"1600",5520002,5520552,"+","H37Rv",3197
"9621",5520002,5520552,"-","H37Rv",3198
"1601",5520552,5521102,"+","H37Rv",3199
"9622",5520552,5521102,"-","H37Rv",3200
"1602",5521102,5521652,"+","H37Rv",3201
"9623",5521102,5521652,"-","H37Rv",3202
"1603",5521652,5522202,"+","H37Rv",3203
"9624",5521652,5522202,"-","H37Rv",3204
"1604",5522202,5522752,"+","H37Rv",3205
"9625",5522202,5522752,"-","H37Rv",3206
"1605",5522752,5523302,"+","H37Rv",3207
"9626",5522752,5523302,"-","H37Rv",3208
"1606",5523302,5523852,"+","H37Rv",3209
"9627",5523302,5523852,"-","H37Rv",3210
"1607",5523852,5524402,"+","H37Rv",3211
"9628",5523852,5524402,"-","H37Rv",3212
"1608",5524402,5524952,"+","H37Rv",3213
"9629",5524402,5524952,"-","H37Rv",3214
"1609",5524952,5525502,"+","H37Rv",3215
"9630",5524952,5525502,"-","H37Rv",3216
"1610",5525502,5526052,"+","H37Rv",3217
"9631",5525502,5526052,"-","H37Rv",3218
"1611",5526052,5526602,"+","H37Rv",3219
"9632",5526052,5526602,"-","H37Rv",3220
"1612",5526602,5527152,"+","H37Rv",3221
"9633",5526602,5527152,"-","H37Rv",3222
"1613",5527152,5527702,"+","H37Rv",3223
"9634",5527152,5527702,"-","H37Rv",3224
"1614",5527702,5528252,"+","H37Rv",3225
"9635",5527702,5528252,"-","H37Rv",3226
"1615",5528252,5528802,"+","H37Rv",3227
"9636",5528252,5528802,"-","H37Rv",3228
"1616",5528802,5529352,"+","H37Rv",3229
"9637",5528802,5529352,"-","H37Rv",3230
"1617",5529352,5529902,"+","H37Rv",3231
"9638",5529352,5529902,"-","H37Rv",3232
"1618",5529902,5530452,"+","H37Rv",3233
"9639",5529902,5530452,"-","H37Rv",3234
"1619",5530452,5531002,"+","H37Rv",3235
"9640",5530452,5531002,"-","H37Rv",3236
"1620",5531002,5531552,"+","H37Rv",3237
"9641",5531002,5531552,"-","H37Rv",3238
"1621",5531552,5532102,"+","H37Rv",3239
"9642",5531552,5532102,"-","H37Rv",3240
"1622",5532102,5532652,"+","H37Rv",3241
"9643",5532102,5532652,"-","H37Rv",3242
"1623",5532652,5533202,"+","H37Rv",3243
"9644",5532652,5533202,"-","H37Rv",3244
"1624",5533202,5533752,"+","H37Rv",3245
"9645",5533202,5533752,"-","H37Rv",3246
"1625",5533752,5534302,"+","H37Rv",3247
"9646",5533752,5534302,"-","H37Rv",3248
"1626",5534302,5534852,"+","H37Rv",3249
"9647",5534302,5534852,"-","H37Rv",3250
"1627",5534852,5535402,"+","H37Rv",3251
"9648",5534852,5535402,"-","H37Rv",3252
"1628",5535402,5535952,"+","H37Rv",3253
"9649",5535402,5535952,"-","H37Rv",3254
"1629",5535952,5536502,"+","H37Rv",3255
"9650",5535952,5536502,"-","H37Rv",3256
"1630",5536502,5537052,"+","H37Rv",3257
"9651",5536502,5537052,"-","H37Rv",3258
"1631",5537052,5537602,"+","H37Rv",3259
"9652",5537052,5537602,"-","H37Rv",3260
"1632",5537602,5538152,"+","H37Rv",3261
"9653",5537602,5538152,"-","H37Rv",3262
"1633",5538152,5538702,"+","H37Rv",3263
"9654",5538152,5538702,"-","H37Rv",3264
"1634",5538702,5539252,"+","H37Rv",3265
"9655",5538702,5539252,"-","H37Rv",3266
"1635",5539252,5539802,"+","H37Rv",3267
"9656",5539252,5539802,"-","H37Rv",3268
"1636",5539802,5540352,"+","H37Rv",3269
"9657",5539802,5540352,"-","H37Rv",3270
"1637",5540352,5540902,"+","H37Rv",3271
"9658",5540352,5540902,"-","H37Rv",3272
"1638",5540902,5541452,"+","H37Rv",3273
"9659",5540902,5541452,"-","H37Rv",3274
"1639",5541452,5542002,"+","H37Rv",3275
"9660",5541452,5542002,"-","H37Rv",3276
"1640",5542002,5542552,"+","H37Rv",3277
"9661",5542002,5542552,"-","H37Rv",3278
"1641",5542552,5543102,"+","H37Rv",3279
"9662",5542552,5543102,"-","H37Rv",3280
"1642",5543102,5543652,"+","H37Rv",3281
"9663",5543102,5543652,"-","H37Rv",3282
"1643",5543652,5544202,"+","H37Rv",3283
"9664",5543652,5544202,"-","H37Rv",3284
"1644",5544202,5544752,"+","H37Rv",3285
"9665",5544202,5544752,"-","H37Rv",3286
"1645",5544752,5545302,"+","H37Rv",3287
"9666",5544752,5545302,"-","H37Rv",3288
"1646",5545302,5545852,"+","H37Rv",3289
"9667",5545302,5545852,"-","H37Rv",3290
"1647",5545852,5546402,"+","H37Rv",3291
"9668",5545852,5546402,"-","H37Rv",3292
"1648",5546402,5546952,"+","H37Rv",3293
"9669",5546402,5546952,"-","H37Rv",3294
"1649",5546952,5547502,"+","H37Rv",3295
"9670",5546952,5547502,"-","H37Rv",3296
"1650",5547502,5548052,"+","H37Rv",3297
"9671",5547502,5548052,"-","H37Rv",3298
"1651",5548052,5548602,"+","H37Rv",3299
"9672",5548052,5548602,"-","H37Rv",3300
"1652",5548602,5549152,"+","H37Rv",3301
"9673",5548602,5549152,"-","H37Rv",3302
"1653",5549152,5549702,"+","H37Rv",3303
"9674",5549152,5549702,"-","H37Rv",3304
"1654",5549702,5550252,"+","H37Rv",3305
"9675",5549702,5550252,"-","H37Rv",3306
"1655",5550252,5550802,"+","H37Rv",3307
"9676",5550252,5550802,"-","H37Rv",3308
"1656",5550802,5551352,"+","H37Rv",3309
"9677",5550802,5551352,"-","H37Rv",3310
"1657",5551352,5551902,"+","H37Rv",3311
"9678",5551352,5551902,"-","H37Rv",3312
"1658",5551902,5552452,"+","H37Rv",3313
"9679",5551902,5552452,"-","H37Rv",3314
"1659",5552452,5553002,"+","H37Rv",3315
"9680",5552452,5553002,"-","H37Rv",3316
"1660",5553002,5553552,"+","H37Rv",3317
"9681",5553002,5553552,"-","H37Rv",3318
"1661",5553552,5554102,"+","H37Rv",3319
"9682",5553552,5554102,"-","H37Rv",3320
"1662",5554102,5554652,"+","H37Rv",3321
"9683",5554102,5554652,"-","H37Rv",3322
"1663",5554652,5555202,"+","H37Rv",3323
"9684",5554652,5555202,"-","H37Rv",3324
"1664",5555202,5555752,"+","H37Rv",3325
"9685",5555202,5555752,"-","H37Rv",3326
"1665",5555752,5556302,"+","H37Rv",3327
"9686",5555752,5556302,"-","H37Rv",3328
"1666",5556302,5556852,"+","H37Rv",3329
"9687",5556302,5556852,"-","H37Rv",3330
"1667",5556852,5557402,"+","H37Rv",3331
"9688",5556852,5557402,"-","H37Rv",3332
"1668",5557402,5557952,"+","H37Rv",3333
"9689",5557402,5557952,"-","H37Rv",3334
"1669",5557952,5558502,"+","H37Rv",3335
"9690",5557952,5558502,"-","H37Rv",3336
"1670",5558502,5559052,"+","H37Rv",3337
"9691",5558502,5559052,"-","H37Rv",3338
"1671",5559052,5559602,"+","H37Rv",3339
"9692",5559052,5559602,"-","H37Rv",3340
"1672",5559602,5560152,"+","H37Rv",3341
"9693",5559602,5560152,"-","H37Rv",3342
"1673",5560152,5560702,"+","H37Rv",3343
"9694",5560152,5560702,"-","H37Rv",3344
"1674",5560702,5561252,"+","H37Rv",3345
"9695",5560702,5561252,"-","H37Rv",3346
