Table S2: Data for individual TA sites in the M. tuberculosis H37Rv genome (NC_018143.1).,,,,,,,,,,,,,
Coordinate,Matches Non Permissive Motif,Num. of Datasets with Insertions,Sum of Normalized Read Counts,Mean Normalized Read Count Among Replicates With Insertions,Low Coverage Site,ORF ID,tRNA,rRNA,DNA-Methylation-Site,TRIT-Site,5pUTR,Promoter,Essentiality State
1460580,,0,0,0,TRUE,Rv1304,,,,,,,ES
1460588,,0,0,0,TRUE,Rv1304,,,,,,,ES
1460640,,0,0,0,TRUE,Rv1304,,,,,,,ES
1460676,,0,0,0,TRUE,Rv1304,,,,,,,ES
1460690,,0,0,0,TRUE,Rv1304,,,,,,,ES
1460705,,1,8.4,8.4,TRUE,Rv1304,,,,,,,ES
1460868,,0,0,0,TRUE,Rv1304,,,,,,,ES
1460961,,0,0,0,TRUE,Rv1304,,,,,,,ES
1461000,,12,579.3,48.3,TRUE,Rv1304,,,,,,,NE
1461003,,2,7.7,3.9,TRUE,,,,,,,,NE
1461016,,0,0,0,TRUE,,,,,,,,ES
1461023,,0,0,0,TRUE,,,,,,,,ES
1461044,,0,0,0,TRUE,,,,,,,,ES
1461062,,0,0,0,TRUE,Rv1305,,,,,,,ES
1461125,TRUE,0,0,0,TRUE,Rv1305,,,,,,,ES
1461146,TRUE,0,0,0,TRUE,Rv1305,,,,,,,ES
1461155,,0,0,0,TRUE,Rv1305,,,,,,,ES
1461240,,0,0,0,TRUE,Rv1305,,,,,,,ES
1461260,,1,8.4,8.4,TRUE,Rv1305,,,,,,,ES
1461281,,0,0,0,TRUE,Rv1305,,,,,,,ES
1461294,,1,15,15,TRUE,Rv1305,,,,,,,NE
1461318,,8,857.7,107.2,TRUE,,,,,,,,NE
1461322,,4,491,122.7,TRUE,,,,,,,,NE
1461512,,0,0,0,TRUE,Rv1306,,,,,,,ES
1461579,,0,0,0,TRUE,Rv1306,,,,,,,ES
1461650,,1,1,1,TRUE,Rv1306,,,,,,,ES
1461840,,0,0,0,TRUE,Rv1306,,,,,,,ES
1461860,,0,0,0,TRUE,Rv1307,,,,,,,ES
1461894,,0,0,0,TRUE,Rv1307,,,,,,,ES
1461911,,0,0,0,TRUE,Rv1307,,,,,,,ES
1461925,,0,0,0,TRUE,Rv1307,,,,,,,ES
1462108,,0,0,0,TRUE,Rv1307,,,,,,,ES
1462246,,0,0,0,TRUE,Rv1307,,,,,,,ES
1462328,,0,0,0,TRUE,Rv1307,,,,,,,ES
1462344,,0,0,0,TRUE,Rv1307,,,,,,,ES
1462387,,1,1,1,TRUE,Rv1307,,,,,,,ES
1462474,,0,0,0,TRUE,Rv1307,,,,,,,ES
1462512,,0,0,0,TRUE,Rv1307,,,,,,,ES
1462618,,0,0,0,TRUE,Rv1307,,,,,,,ES
1462687,,0,0,0,TRUE,Rv1307,,,,,,,ES
1462735,,0,0,0,TRUE,Rv1307,,,,,,,ES
1462856,,0,0,0,TRUE,Rv1307,,,,,,,ES
1463048,,0,0,0,TRUE,Rv1307,,,,,,,ES
1463052,,0,0,0,TRUE,Rv1307,,,,,,,ES
1463081,,0,0,0,TRUE,Rv1307,,,,,,,ES
1463141,,0,0,0,TRUE,Rv1307,,,,,,PROM-248,ES
1463158,,2,23.4,11.7,TRUE,Rv1307,,,,,5pUTR-Rv1308,PROM-248,ES
1463198,,1,1,1,TRUE,,,,,,5pUTR-Rv1308,PROM-248,ES
1463217,,0,0,0,TRUE,,,,,,5pUTR-Rv1308,PROM-248,ES
1463233,,0,0,0,TRUE,,,,,,5pUTR-Rv1308,,ES
1463285,,0,0,0,TRUE,Rv1308,,,,,,,ES
1463289,,0,0,0,TRUE,Rv1308,,,,,,,ES
1463314,,0,0,0,TRUE,Rv1308,,,,,,,ES
1463329,TRUE,0,0,0,TRUE,Rv1308,,,,,,,ES
1463526,,0,0,0,TRUE,Rv1308,,,,,,,ES
1463566,TRUE,0,0,0,TRUE,Rv1308,,,,,,,ES
1463614,,0,0,0,TRUE,Rv1308,,,,,,,ES
1463847,,0,0,0,TRUE,Rv1308,,,,,,,ES
1463849,,0,0,0,TRUE,Rv1308,,,,,,,ES
1463875,,0,0,0,TRUE,Rv1308,,,,,,,ES
1463889,,0,0,0,TRUE,Rv1308,,,,,,,ES
1463924,,1,8.4,8.4,TRUE,Rv1308,,,,,,,ES
1463984,,0,0,0,TRUE,Rv1308,,,,,,,ES
1464017,,0,0,0,TRUE,Rv1308,,,,,,,ES
1464058,,0,0,0,TRUE,Rv1308,,,,,,,ES
1464074,,0,0,0,TRUE,Rv1308,,,,,,,ES
1464122,,0,0,0,TRUE,Rv1308,,,,,,,ES
1464140,,0,0,0,TRUE,Rv1308,,,,,,,ES
1464204,TRUE,0,0,0,TRUE,Rv1308,,,,,,,ES
1464251,,0,0,0,TRUE,Rv1308,,,,,,,ES
1464388,,0,0,0,TRUE,Rv1308,,,,,,,ES
1464431,,0,0,0,TRUE,Rv1308,,,,,,,ES
1464441,,1,8.4,8.4,TRUE,Rv1308,,,,,,,ES
1464645,,0,0,0,TRUE,Rv1308,,,,,,,ES
1464826,,12,804.3,67,TRUE,Rv1308,,,,,,,NE
1464881,,1,1.7,1.7,TRUE,Rv1308,,,,,,,ES
1464885,,0,0,0,TRUE,,,,,,,,ES
1464912,,0,0,0,TRUE,Rv1309,,,,,,,ES
1465025,,0,0,0,TRUE,Rv1309,,,,,,,ES
1465051,,0,0,0,TRUE,Rv1309,,,,,,,ES
1465163,,1,2.2,2.2,TRUE,Rv1309,,,,,,,ES
1465174,,0,0,0,TRUE,Rv1309,,,,,,,ES
1465238,,0,0,0,TRUE,Rv1309,,,,,,,ES
1465252,,0,0,0,TRUE,Rv1309,,,,,,,ES
1465265,,0,0,0,TRUE,Rv1309,,,,,,,ES
1465268,,0,0,0,TRUE,Rv1309,,,,,,,ES
1465328,,0,0,0,TRUE,Rv1309,,,,,,,ES
1465359,,0,0,0,TRUE,Rv1309,,,,,,,ES
1465445,,0,0,0,TRUE,Rv1309,,,,,,,ES
1465514,,0,0,0,TRUE,Rv1309,,,,,,,ES
1465547,,0,0,0,TRUE,Rv1309,,,,,,,ES
1465598,,0,0,0,TRUE,Rv1309,,,,,,,ES
1465606,,0,0,0,TRUE,Rv1309,,,,,,,ES
1465616,,0,0,0,TRUE,Rv1309,,,,,,,ES
1465762,,0,0,0,TRUE,Rv1309,,,,,,,ES
1465805,,5,113.7,22.7,TRUE,Rv1309,,,,,,,GA
1465816,,12,1229.8,102.5,,,,,,,,,GA
1465821,TRUE,3,859.7,286.6,,,,,,,,,GA
1465846,,11,2031.1,184.6,,,,,,,,,GA
1465852,,0,0,0,TRUE,Rv1310,,,,,,,ES
1465917,,0,0,0,TRUE,Rv1310,,,,,,,ES
1466210,,0,0,0,TRUE,Rv1310,,,,,,,ES
1466327,,0,0,0,TRUE,Rv1310,,,,,,,ES
1466416,,0,0,0,TRUE,Rv1310,,,,,,,ES
1466428,,0,0,0,TRUE,Rv1310,,,,,,,ES
1466526,,0,0,0,TRUE,Rv1310,,,,,,,ES
1466560,,0,0,0,TRUE,Rv1310,,,,,,,ES
1466625,,0,0,0,TRUE,Rv1310,,,,,,,ES
1466714,,0,0,0,TRUE,Rv1310,,,,,,,ES
1466804,,0,0,0,TRUE,Rv1310,,,,,,,ES
1466822,,0,0,0,TRUE,Rv1310,,,,,,,ES
1466877,,0,0,0,TRUE,Rv1310,,,,,,,ES
1466975,,0,0,0,TRUE,Rv1310,,,,,,,ES
1467014,,0,0,0,TRUE,Rv1310,,,,,,,ES
1467034,,0,0,0,TRUE,Rv1310,,,,,,,ES
1467049,TRUE,0,0,0,TRUE,Rv1310,,,,,,,ES
1467100,,0,0,0,TRUE,Rv1310,,,,,,,ES
1467114,,0,0,0,TRUE,Rv1310,,,,,,,ES
1467228,,0,0,0,TRUE,Rv1310,,,,,,,ES
1467374,,0,0,0,TRUE,Rv1311,,,,,,,ES
1467684,,2,27.7,13.8,TRUE,Rv1311,,,,,,,NE
1467763,,7,117.3,16.8,TRUE,Rv1312,,,,,,,NE
1467851,,7,89.5,12.8,TRUE,Rv1312,,,,,,,NE
1467859,TRUE,1,3.9,3.9,TRUE,Rv1312,,,,,,,NE
1467883,,6,72.8,12.1,TRUE,Rv1312,,,,,,,NE
1467894,,9,181.7,20.2,TRUE,Rv1312,,,,,,,NE
1467927,,10,123.2,12.3,TRUE,Rv1312,,,,,,,NE
1468040,,9,168.1,18.7,TRUE,Rv1312,,,,,,,NE
1468045,,9,180.4,20,TRUE,Rv1312,,,,,,,NE
1468128,,12,700.6,58.4,,Rv1312,,,,,,,NE
1468131,,14,1237.3,88.4,,Rv1312,,,,,,,NE
1468178,,14,2095.1,149.7,,Rv1313c,,,,,,,NE
1468249,,9,602.6,67,,Rv1313c,,,,,,,NE
1468300,,12,2011.5,167.6,,Rv1313c,,,,,,,NE
1468342,,10,849.4,84.9,,Rv1313c,,,,,,,NE
1468411,,5,173.7,34.7,,Rv1313c,,,,,,,NE
1468464,,13,1869.4,143.8,,Rv1313c,,,,,,,NE
1468517,,5,227.7,45.5,,Rv1313c,,,,,,,NE
1468526,,5,102.5,20.5,,Rv1313c,,,,,,,NE
1468610,,7,360.2,51.5,,Rv1313c,,,,,,,NE
1468668,,11,519.3,47.2,,Rv1313c,,,,,,,NE
1468866,,14,3238,231.3,,Rv1313c,,,,,,,NE
1468985,,12,909.2,75.8,,Rv1313c,,,,,,,NE
1469003,,14,3176.6,226.9,,Rv1313c,,,,,,,NE
1469019,TRUE,3,82.6,27.5,,Rv1313c,,,,,,,NE
1469183,,14,9118.6,651.3,,Rv1313c,,,,,,,NE
1469336,,14,1177.2,84.1,,Rv1313c,,,,,,,NE
1469494,,14,1842.1,131.6,,Rv1313c,,,,,,,NE
1469560,,13,2119.4,163,,,,,,,5pUTR-Rv1313c,,NE
1469581,,11,548.2,49.8,,,,,,,5pUTR-Rv1313c,,NE
1469636,,9,377.4,41.9,,,,,,,5pUTR-Rv1313c,,NE
1469678,,4,203.7,50.9,,Rv1314c,,,,,5pUTR-Rv1313c,,NE
1469691,,14,1422.4,101.6,,Rv1314c,,,,,5pUTR-Rv1313c,,NE
1469734,TRUE,0,0,0,,Rv1314c,,,,,5pUTR-Rv1313c,,NE
1469777,,9,644,71.6,,Rv1314c,,,,,5pUTR-Rv1313c,,NE
1469791,,14,3351.2,239.4,,Rv1314c,,,,,5pUTR-Rv1313c,,NE
1469902,,7,895.6,127.9,,Rv1314c,,,,,5pUTR-Rv1313c,PROM-593,NE
1469905,,14,1388,99.1,,Rv1314c,,,,,5pUTR-Rv1313c,PROM-593,NE
1469917,,7,169.2,24.2,,Rv1314c,,,,,,PROM-593,NE
1469939,,14,2487.9,177.7,,Rv1314c,,,,,,PROM-593,NE
1469970,,9,150.1,16.7,,Rv1314c,,,,,,,NE
1469972,,14,3891.7,278,,Rv1314c,,,,,,,NE
1470016,,5,276.7,55.3,,Rv1314c,,,,,,,NE
1470152,,13,1230.8,94.7,,Rv1314c,,,,,,,NE
1470192,,14,5442.1,388.7,,Rv1314c,,,,,,PROM-1674,NE
1470231,,7,739.8,105.7,,Rv1314c,,,,,,PROM-1674,NE
1470233,,14,4923.9,351.7,,Rv1314c,,,,,,PROM-1674,NE
1470269,,7,483,69,,,,,,,,PROM-1674,NE
1470312,,14,3093.5,221,,,,,,,,PROM-1838,NE
1470315,,14,6847.5,489.1,,,,,,,,PROM-1838,NE
1470364,,2,8,4,TRUE,Rv1315,,,,,,PROM-1838,ES
1470496,,0,0,0,TRUE,Rv1315,,,,,,,ES
1470570,,0,0,0,TRUE,Rv1315,,,,,,,ES
1470701,,0,0,0,TRUE,Rv1315,,,,,,,ES
1470718,,0,0,0,TRUE,Rv1315,,,,,,,ES
1470763,,0,0,0,TRUE,Rv1315,,,,,,,ES
1470872,,0,0,0,TRUE,Rv1315,,,,,,,ES
1471025,,0,0,0,TRUE,Rv1315,,,,,,,ES
1471073,,1,1.7,1.7,TRUE,Rv1315,,,,,,,ES
1471075,,1,8.4,8.4,TRUE,Rv1315,,,,,,,ES
1471090,,0,0,0,TRUE,Rv1315,,,,,,,ES
1471182,,1,8.4,8.4,TRUE,Rv1315,,,,,,,ES
1471256,TRUE,0,0,0,TRUE,Rv1315,,,,,,,ES
1471501,,0,0,0,TRUE,Rv1315,,,,,,,ES
1471521,TRUE,0,0,0,TRUE,Rv1315,,,,,,,ES
1471573,,0,0,0,TRUE,Rv1315,,,,,,,ES
1471581,,7,84.7,12.1,TRUE,Rv1315,,,,,,,NE
1471596,,9,884.3,98.3,TRUE,,,,,,,,NE
1471602,,12,331.9,27.7,TRUE,,,,,,,,NE
1471606,,12,447.1,37.3,TRUE,,,,,,,,NE
1471648,,0,0,0,TRUE,,,,,,,,ES
1471651,,0,0,0,TRUE,,,,,,,,ES
1471713,,0,0,0,TRUE,,,,,,,,ES
1471745,,0,0,0,TRUE,,,,,,,,ES
1471806,,0,0,0,TRUE,,,,,,,,ES
1471812,,0,0,0,TRUE,,,,,,,,ES
1471816,,0,0,0,TRUE,,,,,,,,ES
1471903,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1471941,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1471964,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1471997,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472017,,1,8.4,8.4,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472020,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472027,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472066,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472092,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472119,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472137,TRUE,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472178,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472193,,1,2,2,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472215,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472279,,1,1,1,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472328,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472354,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472373,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472376,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472380,,1,1,1,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472404,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472413,,1,6.9,6.9,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472424,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472462,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472483,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472494,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472499,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472528,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472547,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472589,,1,8.4,8.4,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472631,,1,1,1,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472635,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472643,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472655,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472666,,1,1,1,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472669,,1,1,1,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472703,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472707,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472715,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472719,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472735,,1,2.1,2.1,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472749,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472801,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472826,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472856,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472862,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472933,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1472978,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1473055,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1473078,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1473090,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1473116,,1,4.4,4.4,TRUE,Rvnr01,,Rvnr01,,,,,ES
1473128,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1473188,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1473191,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1473220,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1473237,,1,2.1,2.1,TRUE,Rvnr01,,Rvnr01,,,,,ES
1473268,,2,7.9,4,TRUE,Rvnr01,,Rvnr01,,,,,ES
1473289,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1473342,,1,1,1,TRUE,Rvnr01,,Rvnr01,,,,,ES
1473350,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1473356,,0,0,0,TRUE,Rvnr01,,Rvnr01,,,,,ES
1473388,,1,8.4,8.4,TRUE,Rvnr01,,Rvnr01,,,,,ES
1473425,,1,3.4,3.4,TRUE,,,,,,,,ES
1473449,,0,0,0,TRUE,,,,,,,,ES
1473582,,0,0,0,TRUE,,,,,,,,ES
1473605,,0,0,0,TRUE,,,,,,,,ES
1473617,TRUE,0,0,0,TRUE,,,,,,,,ES
1473642,,0,0,0,TRUE,,,,,,,,ES
1473667,,1,8.4,8.4,TRUE,,,Rvnr02,,,,,ES
1473675,,1,16.9,16.9,TRUE,,,Rvnr02,,,,,ES
1473735,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1473813,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1473827,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1473829,,1,8.4,8.4,TRUE,,,Rvnr02,,,,,ES
1473831,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1473871,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1473877,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1473908,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1473934,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1473951,TRUE,0,0,0,TRUE,,,Rvnr02,,,,,ES
1473959,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1473990,,1,8.4,8.4,TRUE,,,Rvnr02,,,,,ES
1474003,TRUE,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474038,TRUE,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474067,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474085,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474108,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474111,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474125,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474173,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474179,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474183,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474200,TRUE,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474208,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474211,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474234,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474258,,1,8.4,8.4,TRUE,,,Rvnr02,,,,,ES
1474276,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474373,TRUE,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474387,TRUE,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474412,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474432,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474446,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474480,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474506,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474534,,1,8.4,8.4,TRUE,,,Rvnr02,,,,,ES
1474565,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474595,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474620,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474652,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474658,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474679,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474682,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474687,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474721,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474749,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474758,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474791,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474811,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474858,,1,1,1,TRUE,,,Rvnr02,,,,,ES
1474886,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474889,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474919,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474924,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1474983,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475061,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475146,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475166,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475188,,1,8.4,8.4,TRUE,,,Rvnr02,,,,,ES
1475196,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475230,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475233,,1,16.9,16.9,TRUE,,,Rvnr02,,,,,ES
1475307,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475310,,1,8.4,8.4,TRUE,,,Rvnr02,,,,,ES
1475339,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475345,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475358,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475377,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475389,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475409,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475429,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475478,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475500,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475527,,1,8.4,8.4,TRUE,,,Rvnr02,,,,,ES
1475534,,1,8.4,8.4,TRUE,,,Rvnr02,,,,,ES
1475544,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475551,,1,2.1,2.1,TRUE,,,Rvnr02,,,,,ES
1475555,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475561,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475586,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475612,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475676,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475679,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475715,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475717,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475749,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475762,TRUE,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475789,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475799,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475812,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475816,,1,8.4,8.4,TRUE,,,Rvnr02,,,,,ES
1475818,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475827,,1,7.1,7.1,TRUE,,,Rvnr02,,,,,ES
1475832,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475852,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475877,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475903,,1,8.4,8.4,TRUE,,,Rvnr02,,,,,ES
1475923,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475929,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475942,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475979,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1475989,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1476002,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1476013,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1476018,,1,8.4,8.4,TRUE,,,Rvnr02,,,,,ES
1476072,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1476086,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1476097,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1476121,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1476141,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1476146,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1476166,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1476173,,1,8.4,8.4,TRUE,,,Rvnr02,,,,,ES
1476227,,1,1,1,TRUE,,,Rvnr02,,,,,ES
1476258,,1,8.4,8.4,TRUE,,,Rvnr02,,,,,ES
1476288,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1476332,,1,7.7,7.7,TRUE,,,Rvnr02,,,,,ES
1476339,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1476350,,1,7.7,7.7,TRUE,,,Rvnr02,,,,,ES
1476378,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1476464,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1476487,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1476514,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1476554,,1,1,1,TRUE,,,Rvnr02,,,,,ES
1476557,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1476621,TRUE,0,0,0,TRUE,,,Rvnr02,,,,,ES
1476640,TRUE,0,0,0,TRUE,,,Rvnr02,,,,,ES
1476657,,1,8.4,8.4,TRUE,,,Rvnr02,,,,,ES
1476706,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1476734,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1476756,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1476765,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1476779,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1476795,,0,0,0,TRUE,,,Rvnr02,,,,,ES
1476861,TRUE,0,0,0,TRUE,,,,,,,,ES
1476900,,0,0,0,TRUE,,,,,,,,ES
1476906,,0,0,0,TRUE,,,Rvnr03,,,,,ES
1476959,,0,0,0,TRUE,,,Rvnr03,,,,,ES
1476980,,0,0,0,TRUE,,,Rvnr03,,,,,ES
1477003,,0,0,0,TRUE,,,Rvnr03,,,,,ES
1477020,,2,27.1,13.6,TRUE,,,,,,,,NE
1477037,TRUE,0,0,0,TRUE,,,,,,,,NE
1477054,,7,191.1,27.3,TRUE,,,,,,,,NE
1477060,,11,762.7,69.3,TRUE,,,,,,,,NE
1477062,,4,144.4,36.1,TRUE,,,,,,,,NE
